condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1,1000.0,12000.0,400.0,3.3099999999999996,3.593,3.455,20000.0,25000.0,100.0,3.26625,2.5105000000000004,2.665,2.5540000000000003,2.151,2.225
2,5000.0,12000.0,400.0,3.0375,3.656,3.32,20000.0,25000.0,250.0,3.528,3.1815,3.52,3.0375,3.1815,3.32
3,5000.0,5000.0,550.0,2.502,3.4615,2.68,20000.0,25000.0,400.0,3.0625,3.1,2.5,2.088,1.9625,1.53
4,20000.0,8500.0,250.0,3.36125,3.6262499999999998,3.41,20000.0,25000.0,550.0,3.26375,3.545,3.41,2.958,3.379,3.27
5,1000.0,25000.0,250.0,2.875,3.14,2.73,20000.0,25000.0,250.0,2.1025,3.0745,2.12,2.1025,2.7515,1.85
6,5000.0,25000.0,550.0,2.393,3.597,2.88,5000.0,12000.0,100.0,3.123,3.67,3.0,2.393,3.381,2.7
7,5000.0,12000.0,750.0,1.94,3.5955,2.48,5000.0,12000.0,250.0,3.74,3.58,3.59,1.94,3.328,2.48
8,1000.0,5000.0,400.0,2.897,3.514,3.21,5000.0,12000.0,400.0,3.044,2.952,2.76,2.133,2.7,2.47
9,1000.0,25000.0,400.0,2.538,3.541,2.69,5000.0,25000.0,250.0,2.165,3.333,2.55,2.1305,2.47,2.31
10,5000.0,5000.0,250.0,1.8675,3.202,2.17,5000.0,12000.0,400.0,2.684,3.0385,2.88,1.742,2.814,1.87
11,1000.0,12000.0,550.0,2.47,2.9715000000000003,1.96,1000.0,5000.0,100.0,3.73,3.363,3.61,2.47,2.6395,1.96
12,5000.0,12000.0,400.0,1.708,3.48,2.38,1000.0,5000.0,250.0,3.272,3.5605,3.35,1.4755,3.4505000000000003,1.85
13,1000.0,12000.0,550.0,1.3525,3.083,1.88,1000.0,25000.0,250.0,2.9175,3.4675,3.09,1.3525,3.083,1.88
14,3000.0,25000.0,400.0,2.0012499999999998,2.9795,2.16,1000.0,12000.0,400.0,1.69225,3.041,2.02,1.39375,2.03575,1.4249999999999998
15,20000.0,5000.0,400.0,1.54,3.16,2.12,1000.0,5000.0,550.0,2.2,3.43,2.48,1.284,2.972,1.87
16,1000.0,5000.0,100.0,2.486,3.507,2.92,500.0,2000.0,100.0,3.342,3.409,3.18,2.486,3.3175,2.92
17,1000.0,12000.0,550.0,1.2189999999999999,2.6125,1.565,2750.0,37500.0,250.0,1.51975,2.1405000000000003,1.665,1.2189999999999999,1.9100000000000001,1.405
18,12500.0,12000.0,475.0,2.55525,3.61375,2.4299999999999997,2750.0,37500.0,400.0,3.089,3.61275,3.33,1.68225,3.06525,1.615
19,5000.0,37500.0,400.0,2.062,3.322,2.5549999999999997,2750.0,37500.0,550.0,2.451,3.42225,2.855,1.8719999999999999,2.8295000000000003,2.25
