call_number,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
1,12.995617060108433,0.0,0.0,10.0,960.0,320.0,540.0,180.0,0.0,2.276,2.6,3.4000000000000004,100398.47912446952,0.0,3.9387294,8.097272,0.134,0.2078,431.09000000000003,204.6470799999999,2170.662103039761,17199.62199420777,229.42857142857173,574.8894117647061,8.397353563705988,8.802602793211893,10132.814264466839,67852.75569509558,320.0,960.0,6.4,2.4,143.934124,67.6425758,2375.2417599999994,621.5844423076923,0.7721372,1.0698918,0.0,0.0,0.08203125,0.0,0.7722534,1.0697482,0.7725676,1.0360902,36152.2762146,73575.548064
2,108.20454145116878,162.59720545652706,83.0,6.0,1280.0,1280.0,720.0,720.0,2.654,0.69,17.6,29.0,881546.8701230537,1378571.5806421144,140.86769110000003,88.8883819,0.03420000000000001,0.027100000000000003,397.24983000000014,136.81066333333328,25519.53873538778,27146.936339371812,390.4399999999999,212.82000000000005,161.28042176209007,115.53322205989555,1360137.8924046871,922422.176518547,1280.0,1280.0,30.9,29.0,41.29078200000001,44.93642650000001,17.281443235562797,46.191420592654936,0.44393589999999994,0.2813733,0.0,0.0,0.00039062500000000555,0.04296875,0.4475231,0.2808533,0.44323540000000006,0.2831119,60176.408789700006,103800.091392
3,28.405783989534843,5.999514237850458,0.0,0.0,320.0,320.0,180.0,180.0,0.914,3.4411000000000023,12.400000000000002,4.0,70019.32494809046,30706.866821094853,57.1626312,30.2873965,0.045300000000000035,0.09550000000000003,326.6374197402599,696.6307,24271.65663397465,994.6299551817636,708.600678733032,592.0362844702472,5.100066521934243,28.502648747716155,28717.99760944621,72105.24039760431,320.0,320.0,4.1,29.0,37.176629,91.2717349,222.75794294117685,779.6417388198768,0.1237715999999999,0.16737490000000005,0.0,0.0,0.0,0.0,0.24762749999999997,0.13665029999999992,0.1292969,0.1488355,62340.967899,103347.141216
4,50.19261316772957,42.19788162712205,0.0,0.0,640.0,480.0,360.0,270.0,0.0,0.505,24.4,29.0,371151.75481836195,276429.16837699903,28.9137888,18.7080278,0.0148,0.009800000000000001,63.08284000000003,25.444339999999976,28357.54274634127,15174.928245893525,328.93212669683265,257.1961722488038,41.996278167622755,48.8092085396237,254341.2679632275,356085.858467316,480.0,640.0,30.0,24.6,4.2521966,2.516026,1.2908217054263604,1.0622680808080798,0.1384676,0.13479919999999998,0.0,0.0,0.0,0.0,0.13679819999999993,0.1279052,0.155316,0.13663039999999999,59110.9412796,103145.23920000001
5,50.0130795000385,40.89913177191669,0.0,0.0,640.0,480.0,360.0,270.0,0.0,0.307,29.0,29.0,351585.56744133064,246576.25688611416,34.2923438,43.7211683,0.0111,0.011200000000000002,63.274326666666695,96.70091333333335,20398.78249878685,9966.145532223369,145.81999999999988,94.77187948350075,40.00773785680808,52.5300030164323,244439.65290257352,374599.3094291708,480.0,640.0,30.0,29.0,10.4480395,5.0031148,19.070507500000005,1.5757354406130366,0.5839871,0.5794051,0.0,0.0,0.0,0.0,0.5723385,0.6012545,0.5781542000000001,0.5851242,60210.7146207,103892.90183999999
6,33.01125796882553,30.003259361975168,0.0,0.0,320.0,320.0,180.0,180.0,0.0,0.278,25.8,28.0,102026.48572452764,110440.73234912085,20.651395400000002,60.2679272,0.026199999999999994,0.029,153.93887016885554,192.9506129032258,21713.275846897213,18570.027720651975,734.0306905370845,579.8991596638654,29.40179667466819,32.985169685944186,108511.53414513575,115433.5217454262,320.0,320.0,30.0,30.0,40.120005,41.5185934,213.69269619805482,69.69096608187127,0.34559039999999996,0.2842648,0.0,0.0,0.0,0.01171875,0.41485259999999996,0.2754028,0.33630999999999994,0.29531519999999994,59567.2274862,102708.373536
7,53.847696464553266,38.67379024026671,0.0,0.0,960.0,960.0,540.0,540.0,0.703,1.88,29.1,12.4,370423.00642421097,240772.98420661723,80.5143151,124.64267000000002,0.022,0.03620000000000004,152.86115999999978,402.68555937500025,21085.356456449754,13262.87174917825,436.9469387755102,376.5388235294123,41.491115478243316,64.48681092938719,258765.247517282,445803.2605573803,960.0,960.0,17.8,29.1,109.595461,33.3478679,160.34310928571446,41.20229980392159,0.5126098000000001,0.48735850000000003,0.0,0.0,0.0,0.0,0.4425929999999999,0.4878832999999999,0.45136069999999995,0.5004059,61882.5711105,104861.02392
8,15.206652109569221,26.715065967042726,0.0,0.0,320.0,320.0,180.0,180.0,0.911,1.432,10.600000000000001,20.8,32188.387406775062,57629.36993611506,112.7109408,29.36949720000001,0.0881,0.04020000000000001,412.4957115384615,223.12182041666685,21408.350241471184,20094.002114294082,508.461063464837,461.26482758620705,22.886647754750314,21.88164689829303,66386.33089173805,41176.54756985091,320.0,320.0,21.0,29.9,62.263894900000004,189.1222449,437.412113888889,1165.6015304347827,0.47214009999999995,0.4436861000000001,0.0,0.0,0.009765625000000028,0.0,0.4285291,0.6140597,0.5619599999999999,0.437743,60671.1009366,103070.976144
9,161.24638908835854,163.02058473858708,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,30.0,29.0,1363686.5697594807,1392615.3160908052,30.096199000000006,23.6595945,0.012,0.011,50.69437333333336,42.85216666666668,18774.831120504627,21486.180192290256,47.86635638297871,67.0,168.9086414592894,154.50023590081636,1441474.2394337466,1309301.63228898,1280.0,1280.0,30.0,30.0,1.1879133,5.2869744,0.00115722495894889,0.0007882242757272,0.5753878,0.5725537,0.0,0.0,0.0,0.0,0.5901638,0.5919291999999999,0.5897336999999999,0.5792282999999999,60332.015154600005,103044.534096
10,138.42925580054165,166.5234358657405,0.0,9.0,1280.0,1280.0,720.0,720.0,0.0,0.75,29.0,29.0,1169002.9861046113,1419035.0103542695,60.36196580000001,73.222464,0.0279,0.027,123.37856206896548,145.67908612903224,21360.538629139995,20181.405275024434,196.95999999999998,235.83243243243243,162.25365867100564,145.52917377266962,1367004.594205414,1242507.8939686073,1280.0,1280.0,30.0,30.0,27.4720085,39.51023660000001,9.722174220374221,24.13085974842767,0.5918552,0.5855679,0.0,0.0,0.0,0.0,0.580835,0.5885114,0.5910326,0.5809475,61768.3933881,104804.782368
