Treatment no.,Upload,Download,Latency,Condition
38,500.0,5000,250,57.0
43,5000.0,25000,400,18.0
44,20000.0,12000,750,8.1
45,500.0,25000,550,51.2
46,5000.0,25000,250,17.1
47,500.0,25000,750,52.1
48,5000.0,5000,250,25.2
49,1000.0,25000,550,35.2
50,1000.0,5000,400,42.0
51,1000.0,25000,750,36.1
52,500.0,25000,250,49.0
69,1000.0,25000,750,36.2
75,1000.0,2000,750,48.1
91,20000.0,25000,400,2.1
94,500.0,12000,750,56.2
110,1000.0,25000,250,33.0
124,500.0,5000,400,58.1
126,5000.0,25000,750,20.0
134,20000.0,12000,400,6.1
