condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1.0,20000.0,50000,100,4.163,3.71,3.92,20000.0,50000,100,4.2235,3.616,3.9,4.163,3.616,3.9
1.1,20000.0,50000,100,4.042,3.7345,3.88,20000.0,50000,100,4.1375,3.6260000000000003,3.86,4.042,3.6260000000000003,3.86
1.2,20000.0,50000,100,4.28,3.6815,3.96,20000.0,50000,100,3.827,3.5825,3.7,3.827,3.5825,3.7
2.0,20000.0,50000,250,4.016,3.681,3.84,20000.0,50000,250,3.87,3.6425,3.75,3.87,3.6425,3.75
2.1,20000.0,50000,250,3.99,3.6430000000000002,3.81,20000.0,50000,250,3.65,3.608,3.63,3.65,3.608,3.63
2.2,20000.0,50000,250,3.56,3.636,3.6,20000.0,50000,250,3.9435000000000002,3.653,3.79,3.56,3.636,3.6
3.0,20000.0,50000,400,3.5875,3.68,3.63,20000.0,50000,400,3.5525,3.6925,3.62,3.5525,3.68,3.62
3.1,20000.0,50000,400,1.1424999999999998,3.4815,1.72,20000.0,50000,400,1.2730000000000001,3.131,1.81,1.1424999999999998,3.131,1.72
3.2,20000.0,50000,400,3.612,3.4505000000000003,3.53,20000.0,50000,400,3.4480000000000004,3.61,3.53,3.4480000000000004,3.4505000000000003,3.53
4.0,20000.0,50000,550,3.1,3.631,3.34,20000.0,50000,550,2.765,3.374,3.04,2.765,3.374,3.04
4.1,20000.0,50000,550,3.004,3.557,3.26,20000.0,50000,550,2.7525,3.662,3.14,2.7525,3.557,3.14
4.2,20000.0,50000,550,3.06,3.721,3.36,20000.0,50000,550,2.9939999999999998,3.72,3.32,2.9939999999999998,3.72,3.32
5.0,20000.0,50000,750,1.81,3.242,2.32,20000.0,50000,750,2.488,3.425,2.88,1.81,3.242,2.32
5.1,20000.0,50000,750,2.304,3.66,2.83,20000.0,50000,750,2.51,3.73,3.0,2.304,3.66,2.83
5.2,20000.0,50000,750,2.338,3.632,2.84,20000.0,50000,750,2.275,3.184,2.65,2.275,3.184,2.65
6.0,20000.0,25000,100,4.1625,3.6615,3.9,20000.0,25000,100,4.185,3.7030000000000003,3.93,4.1625,3.6615,3.9
6.1,20000.0,25000,100,4.1049999999999995,3.68,3.88,20000.0,25000,100,4.24,3.644,3.92,4.1049999999999995,3.644,3.88
6.2,20000.0,25000,100,4.165,3.704,3.92,20000.0,25000,100,4.273499999999999,3.677,3.95,4.165,3.677,3.92
7.0,20000.0,25000,250,4.054,3.621,3.83,20000.0,25000,250,3.4130000000000003,3.6225,3.51,3.4130000000000003,3.621,3.51
7.1,20000.0,25000,250,3.8925,3.7,3.79,20000.0,25000,250,4.014,3.629,3.81,3.8925,3.629,3.79
7.2,20000.0,25000,250,3.832,3.729,3.78,20000.0,25000,250,3.741,3.6574999999999998,3.7,3.741,3.6574999999999998,3.7
8.0,20000.0,25000,400,3.5015,3.633,3.57,20000.0,25000,400,3.2225,3.644,3.42,3.2225,3.633,3.42
8.1,20000.0,25000,400,3.4215,3.7305,3.57,20000.0,25000,400,3.7025,3.3474999999999997,3.52,3.4215,3.3474999999999997,3.52
8.2,20000.0,25000,400,3.396,3.6715,3.53,20000.0,25000,400,3.486,3.416,3.45,3.396,3.416,3.45
9.0,20000.0,25000,550,2.5,3.653,2.97,20000.0,25000,550,2.95,3.693,3.28,2.5,3.653,2.97
9.1,20000.0,25000,550,3.1445000000000003,3.67,3.39,20000.0,25000,550,3.125,3.52,3.31,3.125,3.52,3.31
9.2,20000.0,25000,550,2.4400000000000004,3.65,2.92,20000.0,25000,550,2.58,3.65,3.02,2.4400000000000004,3.65,2.92
10.0,20000.0,25000,750,2.4245,3.451,2.85,20000.0,25000,750,2.042,3.1500000000000004,2.48,2.042,3.1500000000000004,2.48
10.1,20000.0,25000,750,1.658,3.5635,2.26,20000.0,25000,750,1.734,3.413,2.3,1.658,3.413,2.26
10.2,20000.0,25000,750,2.2215000000000003,3.7105,2.78,20000.0,25000,750,2.34,3.4034999999999997,2.77,2.2215000000000003,3.4034999999999997,2.77
11.0,20000.0,12000,100,4.0825000000000005,3.714,3.89,20000.0,12000,100,3.862,3.636,3.75,3.862,3.636,3.75
11.1,20000.0,12000,100,4.061999999999999,3.7515,3.9,20000.0,12000,100,4.2305,3.65,3.92,4.061999999999999,3.65,3.9
11.2,20000.0,12000,100,3.9,3.692,3.79,20000.0,12000,100,4.157,3.6340000000000003,3.88,3.9,3.6340000000000003,3.79
12.0,20000.0,12000,250,3.6100000000000003,3.6174999999999997,3.61,20000.0,12000,250,4.012499999999999,3.6149999999999998,3.8,3.6100000000000003,3.6149999999999998,3.61
12.1,20000.0,12000,250,4.004,3.633,3.81,20000.0,12000,250,3.864,3.634,3.75,3.864,3.633,3.75
12.2,20000.0,12000,250,4.006,3.67,3.83,20000.0,12000,250,3.753,3.71,3.73,3.753,3.67,3.73
13.0,20000.0,12000,400,2.98,3.7115,3.31,20000.0,12000,400,3.589,3.6525,3.62,2.98,3.6525,3.31
13.1,20000.0,12000,400,3.5575,3.7045000000000003,3.63,20000.0,12000,400,3.095,3.634,3.34,3.095,3.634,3.34
13.2,20000.0,12000,400,3.0220000000000002,3.651,3.31,20000.0,12000,400,3.286,3.6025,3.44,3.0220000000000002,3.6025,3.31
