ID,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya
colac12,164.54292135404313,84.50133814602145,7.199999999999999,9.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,23.8,1376253.267666234,670807.4666773062,104.272004,122.8474316,0.025,0.0282,299.9994466666665,465.847033763441,1139.3906092494187,1049.5290980259613,352.15555555555653,357.3777777777779,78.80517276249697,152.4767578782636,623576.2394202597,1270816.980886701,1280.0,1280.0,25.0,30.0,66.8310946,8.741059,29.97733177881411,3.513786464646461,0.236893,0.09212959999999999,0.0,0.0,0.0078125,0.0,0.33937719999999993,0.08020319999999999,0.17242459999999998,0.11779479999999999,58393.9072962,99910.95888
colac23,25.20370017400303,20.0072057261268,0.0,0.0,480.0,320.0,270.0,180.0,1.264,1.8284,3.2,19.4,193175.56473272954,83454.51117442071,125.9991664,6.0612758,0.10060000000000001,0.05280000000000002,587.6654818181819,21.025087208008916,21864.79018803678,1227.304637129666,663.3541416566609,1722.859574468085,23.20337813053136,25.20764098169618,94133.13447642942,197037.0595407692,320.0,480.0,20.4,10.600000000000001,9.7493342,458.8481756,78.67910588235301,1757.2651440000002,0.25282600000000005,0.0758332,0.0,0.0,0.01953125,0.03125,0.26039140000000005,0.074228,0.26030900000000007,0.08622139999999992,58863.5740602,99277.127904
colac31,135.75087428784852,154.47685232414904,10.0,4.0,1280.0,1280.0,720.0,720.0,0.0,0.0,17.4,26.4,1160735.6171412065,1316584.893863879,93.9609714,59.4908908,0.028900000000000002,0.027500000000000004,225.60241789473665,103.30423309523816,1289.7605574003217,17570.675336414435,243.08627450980396,166.1609090909091,152.89423432425775,130.45855164711858,1291048.6266973228,1111702.4023404387,1280.0,1280.0,27.4,17.7,18.4275475,124.4264014,0.0012489566719763301,53.23313491161616,0.0643384,0.09181669999999999,0.0,0.0,0.01171875,0.0,0.07615019999999997,0.0674701,0.0735063,0.08570420000000001,58711.9113378,98958.91992
dunkeld12,138.45865937571256,37.96475366952876,0.0,28.0,1280.0,1280.0,720.0,720.0,0.875,2.5903999999999994,28.8,4.800000000000001,1147552.8659645543,319230.06748634664,55.925111,64.706876,0.026399999999999996,0.071,104.32582430107527,283.16373333333354,1489.9584770544739,1062.3773619290064,305.5914285714286,312.10000000000036,47.19046190849525,153.54984562030847,296577.208746061,1298437.2051516287,1280.0,1280.0,9.4,30.0,115.66108919999999,2.2671134,724.4203015280136,0.33073880682468715,0.06797759999999997,0.3823393999999999,0.0,0.0007812499999999972,0.005468749999999981,0.08203125,0.07403539999999997,0.39758,0.06690059999999999,0.3613802,59105.7306,102150.958752
dunkeld23,105.6905114475003,43.971853433565826,0.0,0.0,960.0,640.0,540.0,360.0,0.265,0.0,17.7,27.8,864859.7200464249,300866.56540135865,32.696165900000004,39.2014422,0.0166,0.013600000000000001,49.08287666666667,70.66286999999998,18213.56519569131,1564.7001992442229,88.8169230769231,66.26857142857149,45.11333486563966,110.71926463719387,321943.05592661636,904717.5807718392,640.0,960.0,29.7,19.1,11.9529132,2.2283573000000003,3.443315789473673,0.00112137063543754,0.0573989999999999,0.0532213,0.0,0.0,0.0,0.0,23.3,0.058043199999999934,0.0575532,0.059589899999999904,58120.3674324,100643.91456
dunkeld31,24.61852448060929,27.79678463983487,0.0,2.0,480.0,640.0,270.0,360.0,2.083,3.42,9.600000000000001,3.6000000000000005,187353.1329423504,241693.77101535234,68.82788,78.70729359999999,0.0658,0.115,225.94169403508764,470.9175636363641,1008.7544182982691,7320.318610812719,209.40350877193015,171.88444444444434,37.421376609511306,35.57953283195114,305394.58433857147,249126.04544329474,640.0,480.0,4.0,12.0,200.8666798,41.9699502,317.7072410434779,6.8391215989683225,0.09344159999999999,0.07352019999999998,0.0,0.35234375,0.09062499999999998,0.24609375,0.0558194,0.13030959999999997,0.15899359999999998,0.05715319999999992,59115.582981,101189.913408
dunkeld33,105.03893789216016,108.05619244012033,0.0,0.0,960.0,960.0,540.0,540.0,0.0,0.0,16.8,14.8,833400.3366045525,903825.9651068101,68.77018899999999,35.1647088,0.023599999999999996,0.021999999999999992,120.2890625287357,82.1455304347827,1034.9917346721602,2789.8396373171345,151.44347826086965,162.5,108.77847986206913,105.24208307843647,933441.2111327198,869598.5933772372,960.0,960.0,15.0,18.0,5.5979816,9.5200552,0.0011563369728123,0.7521163043478328,0.06667799999999999,0.05644519999999998,0.0,0.0,0.0,0.0,0.05991199999999999,0.05909139999999992,0.05824,0.05377219999999998,59289.2750646,101473.13721599999
ararat11,40.60372723506692,151.7444918188699,0.0,0.0,960.0,1280.0,540.0,720.0,5.123,0.0,3.0,29.0,316866.52220512816,1273647.9014345706,101.5697986,53.5756608,0.09679999999999998,0.031799999999999995,339.3201749999997,89.23249935483875,1308.8610862435223,5915.589145466908,321.39089481946604,297.53488372092903,152.3946303574897,46.03119882873998,1286350.631163172,345694.64940600336,1280.0,960.0,30.0,7.6000000000000005,1.1027964000000001,373.5058546,0.00110161770966384,470.5499889943068,0.0597442,0.16024609999999997,0.0,0.484375,0.0,0.194921875,0.05685719999999997,0.08299449999999994,0.05827939999999992,0.17926029999999993,60289.0193304,99753.09350399999
ararat12,147.9837484581837,152.38531424487246,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,30.0,1241754.9846976195,1293507.714760645,48.9187164,43.8524522,0.0172,0.017,70.25497333333334,58.413266666666594,1087.9781071567481,6722.078547119038,94.99999999999976,86.5317647058823,160.99724187825038,152.08769191582974,1364760.6219175947,1270676.090785109,1280.0,1280.0,30.0,28.0,0.237451,33.6667058,0.0013486338797812799,0.965652603000714,0.0542418,0.0523808,0.0,0.0,0.0015624999999999944,0.0,0.0840854,0.06032679999999998,0.05616139999999992,0.0561678,60227.616783599995,100623.347136
ararat13,151.4147345809389,114.39207279755702,0.0,0.0,1280.0,960.0,720.0,540.0,0.0,0.0,21.7,29.0,1296440.6137855106,925200.8367430076,45.417232500000004,28.6952961,0.0199,0.0183,76.34039901960784,40.045829999999995,10073.932396433996,885.9748972085137,151.45999999999998,93.92307692307723,114.66102596408888,153.52927668438656,921369.7776618557,1297888.7640766622,960.0,1280.0,30.0,20.0,5.794317,1.7855911,0.00111992727273085,0.0007952698149394101,0.0675448999999999,0.058214999999999927,0.0,0.0,0.0,0.05820312500000009,0.0547288,0.054414699999999906,0.05715199999999993,0.07730109999999994,60343.65773100001,101198.004288
