
Inbound Video
Ellen-[packetsReceived/s],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,208.09133724018554,187.87901181914245,148.99136807860302,183.07450775736376,167.91000611930937,-1,-1,-1,-1
Ellen-packetsLost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1
Ellen-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,-1,-1,-1,-1
Ellen-totalFreezesDuration,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1
Ellen-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.0,33.0,29.0,31.0,29.0,31.0,-1,-1,-1,-1
Ellen-[bytesReceived_in_bits/s],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,1760348.6673833495,1616231.1978870647,1255255.2758884332,1575289.1119733187,1434151.34512333,-1,-1,-1,-1
Ellen-totalProcessingDelay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.22897099999999998,2.3415429999999997,3.173575,3.9327029999999996,4.6882209999999995,5.48117,-1,-1,-1,-1
Ellen-jitter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.004,0.019,0.015,0.013,0.013,0.013,-1,-1,-1,-1

Inbound Audio
Ellen-[bytesReceived_in_bits/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.9658299968432,25105.828747406344,5169.089447753862,22856.986364968314,24958.173198897348,28821.879402164577,27471.81774708252,26443.606855445116,35609.06887840258,31782.158677921598,30876.566160782924,32542.55832883758,16239.75975438896,12836.545082289605,12552.365111480618,-1

Outbound Video
Ellen-[packetsSent/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0084065476101,13.99655951193409,33.00695661297938,116.00500605251682,211.98448390089092,178.8875316569854,164.09448246363394,162.07113765822143,147.90475398528235,180.9895142431352,175.07125058764294,177.90464934069684,163.5946314324195,-1701.8450784879265,35.001018076945634,-1
Ellen-[bytesSent_in_bits/s],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34589.053028540504,89513.9966043236,117192.69977059298,574088.7740907932,1853128.3611891544,1534043.5318085244,1428934.7532933243,1375827.8902153699,1233997.3444796945,1527743.4890890482,1503804.0189333723,1517890.4638894026,1377738.1243423724,-13975114.539725987,205109.96604725308,-1
Ellen-frameWidth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320.0,320.0,320.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,320.0,320.0,-1
Ellen-framesPerSecond,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,-1
Ellen-totalPacketSendDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044854,9e-06,1.4999999999999999e-05,0.284653,0.554885,0.6933469999999999,0.693484,0.6936319999999999,0.693765,0.6938909999999999,0.694028,0.6941689999999999,0.6942969999999999,1.7e-05,2.9999999999999997e-05,-1
Ellen-[totalPacketSendDelay/packetsSent_in_ms],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.485399999999999,-3.2032142857142856,0.00018181818181818178,2.453775862068966,1.2746792452830187,0.773530726256983,0.0008353658536588643,0.0009135802469131233,0.0008986486486489847,0.000696132596684859,0.00078285714285745,0.0007921348314603748,0.0007804878048781524,0.40912197996464345,0.0003714285714285713,-1
Ellen-qualityLimitationReason,"""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""bandwidth""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""","""none""",-1
