IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits/s_ellen,IT01V_bytesReceived_in_bits/s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay/emissions_ellen,IT01V_jitterBufferDelay/emissions_aadya,IT01V_codec_ellen,IT01V_codec_aadya,IT01V_timestamps_ellen,IT01V_timestamps_aadya,IT01A_bytesReceived_in_bits/s_ellen,IT01A_bytesReceived_in_bits/s_aadya,IT01A_jitterBufferDelay/emissions_ellen,IT01A_jitterBufferDelay/emissions_aadya,"IT01A_(dtx, fec)_ellen","IT01A_(dtx, fec)_aadya",IT01A_timestamps_ellen,IT01A_timestamps_aadya,OT01V_packetsSent/s_ellen,OT01V_packetsSent/s_aadya,OT01V_bytesSent_in_bits/s_ellen,OT01V_bytesSent_in_bits/s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya,OT01V_qualityLimitationReason_ellen,OT01V_qualityLimitationReason_aadya,OT01V_qualityLimitationResolutionChanges_ellen,OT01V_qualityLimitationResolutionChanges_aadya,OT01V_timestamps_ellen,OT01V_timestamps_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIV_timestamps_ellen,RIV_timestamps_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,RIA_timestamps_ellen,RIA_timestamps_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,ROA_timestamps_ellen,ROA_timestamps_aadya,SV2_width_ellen,SV2_width_aadya,SV2_height_ellen,SV2_height_aadya,SV2_framesPerSecond_ellen,SV2_framesPerSecond_aadya,SV2_timestamps_ellen,SV2_timestamps_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya,AP_timestamps_ellen,AP_timestamps_aadya
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1725422648,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,none,-1,0,-1,1725422648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,378.94248,-1,1725422648,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1725422649,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,none,-1,0,-1,1725422649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1602.295884,-1,1725422649,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422650,1725422650,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422650,1725422650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2825.76042,266.75808,1725422650,1725422650
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422651,1725422651,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422651,1725422651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4048.630488,2339.27616,1725422651,1725422651
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422652,1725422652,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422652,1725422652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5271.953463,4390.99536,1725422652,1725422652
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422653,1725422653,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422653,1725422653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6495.269382,6442.7136,1725422653,1725422653
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422654,1725422654,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422654,1725422654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7730.403219,8494.65168,1725422654,1725422654
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422655,1725422655,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422655,1725422655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8941.549302,10546.47072,1725422655,1725422655
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422656,1725422656,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422656,1725422656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10164.732921,12598.26096,1725422656,1725422656
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422657,1725422657,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422657,1725422657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11387.996802,14650.22064,1725422657,1725422657
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422658,1725422658,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422658,1725422658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12611.300814,16702.16976,1725422658,1725422658
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422659,1725422659,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422659,1725422659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13834.54485,18753.79008,1725422659,1725422659
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422660,1725422660,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422660,1725422660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15057.888111,20805.53952,1725422660,1725422660
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422661,1725422661,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422661,1725422661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16281.14229,22857.37008,1725422661,1725422661
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422662,1725422662,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422662,1725422662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17504.245647,24888.55008,1725422662,1725422662
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422663,1725422663,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422663,1725422663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18727.550982,26960.64912,1725422663,1725422663
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422664,1725422664,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422664,1725422664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19950.866019,29012.4264,1725422664,1725422664
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422665,1725422665,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422665,1725422665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21174.090651,31064.24544,1725422665,1725422665
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422666,1725422666,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422666,1725422666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22397.293674,33116.11536,1725422666,1725422666
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422667,1725422667,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422667,1725422667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23620.578723,35167.97568,1725422667,1725422667
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422668,1725422668,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422668,1725422668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24843.731913,37219.78752,1725422668,1725422668
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422669,1725422669,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422669,1725422669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26066.906712,39271.54608,1725422669,1725422669
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422670,1725422670,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422670,1725422670,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27289.949211,41323.21392,1725422670,1725422670
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422671,1725422671,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422671,1725422671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28513.133712,43374.93456,1725422671,1725422671
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422672,1725422672,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422672,1725422672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29736.387891,45426.82272,1725422672,1725422672
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422673,1725422673,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422673,1725422673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30959.600616,47478.6312,1725422673,1725422673
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422674,1725422674,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422674,1725422674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32182.703973,49530.2712,1725422674,1725422674
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422675,1725422675,0,0,0,0,-1,-1,-1,-1,0,0,0,0,none,none,0,0,1725422675,1725422675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33405.796746,51581.892,1725422675,1725422675
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,1725422676,1725422676,5.99996995940944,0,51095.74417433079,0,320,-1,-1,-1,3e-06,0,0.0005,0,none,none,0,0,1725422676,1725422676,0.07054099999999999,-1,0,-1,1725422676,-1,0,-1,0.06991599999999999,-1,1725422676,-1,-1,0.270905,-1,1725422676,1280,-1,720,-1,0,-1,1725422676,-1,34592.608449,53613.35136,1725422676,1725422676
0,-1,0,-1,320,-1,180,-1,0,-1,51,-1,0,-1,0.171014,-1,0.002,-1,0,-1,AV1,-1,1725422677,-1,15088.30217585153,17118.137750674538,100.83333333333333,46.578947368421055,"(False, True)","(False, True)",1725422677,1725422677,33.00066090953741,0,90809.81866282647,0,320,-1,30,-1,1.2e-05,0,0.00027272727272727274,0,none,none,0,0,1725422677,1725422677,0.069519,0.327911,0,0,1725422677,1725422677,0,0,0.071045,0.285614,1725422677,1725422677,0.069717,0.271713,1725422677,1725422677,1280,1280,720,720,30,0,1725422677,1725422677,35815.926132,55583.26224,1725422677,1725422677
44.000136375849934,0,0,0,960,-1,540,-1,0.248,0,25,-1,299928.92961218,0,1.577019,0,0.014,0.001,50.10908,0,VP9,VP9,1725422678,1725422678,29392.091099067755,9643.901166748734,97.82608695652175,30.38461538461538,"(False, True)","(False, True)",1725422678,1725422678,25.00007748627837,51.317947975670975,369369.1448380668,368737.8532054137,1280,960,32,31,1.080593,1.7076879999999999,43.223240000000004,32.220528301886795,none,bandwidth,0,0,1725422678,1725422678,0.068497,0.42582699999999996,0,0,1725422678,1725422678,0,0,0.070129,0.284271,1725422678,1725422678,0.06883199999999999,0.270355,1725422678,1725422678,1280,1280,720,720,30.303030303030305,31,1725422678,1725422678,37039.289238,57696.87264,1725422678,1725422678
