IT01V_packetsRecieved_ellen ,IT01V_packetsRecieved_aadya ,IT01V_packetsLost_ellen ,IT01V_packetsLost_aadya ,IT01V_frameWidth_ellen ,IT01V_frameWidth_aadya ,IT01V_frameHeight_ellen ,IT01V_frameHeight_aadya ,IT01V_totalFreezesDuration_ellen ,IT01V_totalFreezesDuration_aadya ,IT01V_framesPerSecond_ellen ,IT01V_framesPerSecond_aadya ,IT01V_bytesReceived_in_bits/s_ellen ,IT01V_bytesReceived_in_bits/s_aadya ,IT01V_totalProcessingDelay_ellen ,IT01V_totalProcessingDelay_aadya ,IT01V_jitter_ellen   ,IT01V_jitter_aadya ,IT01V_jitterBufferDelay_ellen ,IT01V_jitterBufferDelay_aadya ,IT01V_codec_ellen ,IT01V_codec_aadya ,IT01V_timestamps_ellen ,IT01V_timestamps_aadya ,IT01A_bytesReceived_in_bits/s_ellen ,IT01A_bytesReceived_in_bits/s_aadya ,IT01A_jitterBufferDelay_ellen ,IT01A_jitterBufferDelay_aadya ,"IT01A_(dtx, fec):_ellen" ,"IT01A_(dtx, fec):_aadya" ,IT01A_timestamps_ellen ,IT01A_timestamps_aadya ,OT01V_packetsSent/s_ellen ,OT01V_packetsSent/s_aadya ,OT01V_bytesSent_in_bits/s_ellen ,OT01V_bytesSent_in_bits/s_aadya ,OT01V_frameWidth_ellen ,OT01V_frameWidth_aadya ,OT01V_framesPerSecond_ellen ,OT01V_framesPerSecond_aadya ,OT01V_totalPacketSendDelay_ellen ,OT01V_totalPacketSendDelay_aadya ,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen ,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya ,OT01V_qualityLimitationReason_ellen ,OT01V_qualityLimitationReason_aadya ,OT01V_qualityLimitationResolutionChanges_ellen ,OT01V_qualityLimitationResolutionChanges_aadya ,OT01V_timestamps_ellen ,OT01V_timestamps_aadya ,RIV_roundTripTime_ellen ,RIV_roundTripTime_aadya ,RIV_fractionLost_ellen ,RIV_fractionLost_aadya ,RIV_timestamps_ellen ,RIV_timestamps_aadya ,RIA_fractionLost_ellen ,RIA_fractionLost_aadya ,RIA_roundTripTime_ellen ,RIA_roundTripTime_aadya ,RIA_timestamps_ellen ,RIA_timestamps_aadya ,ROA_roundTripTime_ellen ,ROA_roundTripTime_aadya ,ROA_timestamps_ellen ,ROA_timestamps_aadya ,SV2_width_ellen ,SV2_width_aadya ,SV2_height_ellen ,SV2_height_aadya ,SV2_framesPerSecond_ellen ,SV2_framesPerSecond_aadya ,SV2_timestamps_ellen ,SV2_timestamps_aadya ,AP_totalPlayoutDelay_ellen ,AP_totalPlayoutDelay_aadya ,AP_timestamps_ellen ,AP_timestamps_aadya
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,-1                                  ,0                             ,-1                            ,-1                        ,-1                        ,1725319390             ,-1                     ,0                         ,-1                        ,0                               ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,-1                               ,0                                                  ,-1                                                 ,none                                ,-1                                  ,0                                              ,-1                                             ,1725319390             ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,672.488838                 ,-1                         ,1725319390          ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,-1                                  ,0                             ,-1                            ,-1                        ,-1                        ,1725319391             ,-1                     ,0                         ,-1                        ,0                               ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,-1                               ,0                                                  ,-1                                                 ,none                                ,-1                                  ,0                                              ,-1                                             ,1725319391             ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,1901.5761240000002         ,-1                         ,1725319391          ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,-1                                  ,0                             ,-1                            ,-1                        ,-1                        ,1725319392             ,-1                     ,0                         ,-1                        ,0                               ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,-1                               ,0                                                  ,-1                                                 ,none                                ,-1                                  ,0                                              ,-1                                             ,1725319392             ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,3130.66341                 ,-1                         ,1725319392          ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,-1                                  ,0                             ,-1                            ,-1                        ,-1                        ,1725319393             ,-1                     ,0                         ,-1                        ,0                               ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,-1                               ,0                                                  ,-1                                                 ,none                                ,-1                                  ,0                                              ,-1                                             ,1725319393             ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,4353.3956655               ,-1                         ,1725319393          ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,-1                                  ,0                             ,-1                            ,-1                        ,-1                        ,1725319394             ,-1                     ,0                         ,-1                        ,0                               ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,-1                               ,0                                                  ,-1                                                 ,none                                ,-1                                  ,0                                              ,-1                                             ,1725319394             ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,5576.127921                ,0                          ,1725319394          ,1725319394
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,0                                   ,0                             ,0                             ,-1                        ,-1                        ,1725319395             ,1725319395             ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,0                                              ,0                                              ,1725319395             ,1725319395             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,6793.04493                 ,1436.53056                 ,1725319395          ,1725319395
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,0                                   ,0                             ,0                             ,-1                        ,-1                        ,1725319396             ,1725319396             ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,0                                              ,0                                              ,1725319396             ,1725319396             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,8009.961939                ,3509.51136                 ,1725319396          ,1725319396
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,0                                   ,0                             ,0                             ,-1                        ,-1                        ,1725319397             ,1725319397             ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,0                                              ,0                                              ,1725319397             ,1725319397             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,9232.979742                ,5562.01056                 ,1725319397          ,1725319397
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,0                                   ,0                             ,0                             ,-1                        ,-1                        ,1725319398             ,1725319398             ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,0                                              ,0                                              ,1725319398             ,1725319398             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,10455.997545               ,7614.47232                 ,1725319398          ,1725319398
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,0                                   ,0                                   ,0                             ,0                             ,-1                        ,-1                        ,1725319399             ,1725319399             ,0                         ,0                         ,0                               ,0                               ,-1                     ,-1                     ,-1                          ,-1                          ,0                                ,0                                ,0                                                  ,0                                                  ,none                                ,none                                ,0                                              ,0                                              ,1725319399             ,1725319399             ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,11685.113937               ,9646.51872                 ,1725319399          ,1725319399
