ID,e_audio_mos,e_video_mos,e_mos,a_audio_mos,a_video_mos,a_mos,agg_audio_mos,agg_video_mos,agg_mos
colac12,1.46,3.194,2.0,1.9449999999999998,2.576,2.22,1.46,2.576,2.0
colac23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
colac31,3.275,2.57,2.88,3.8,3.319,3.54,3.275,2.57,2.88
dunkeld12,2.825,3.518,3.13,1.4,1.0,1.17,1.4,1.0,1.17
dunkeld23,1.0,2.65,1.45,3.8024999999999998,3.3875,3.58,1.0,2.65,1.45
dunkeld31,2.2495,1.658,1.91,1.375,1.0,1.16,1.375,1.0,1.16
dunkeld33,3.51,2.7,3.05,3.515,2.46,2.89,3.51,2.46,2.89
ararat11,2.75,1.0,1.47,1.5350000000000001,3.478,2.13,1.5350000000000001,1.0,1.47
ararat12,3.725,3.5,3.61,3.965,3.59,3.77,3.725,3.5,3.61
ararat13,3.825,3.186,3.48,2.0300000000000002,3.747,2.63,2.0300000000000002,3.186,2.63
ararat21,3.725,3.05,3.35,4.12,3.672,3.88,3.725,3.05,3.35
ararat22,1.7710000000000001,3.3505000000000003,2.32,3.6100000000000003,3.3445,3.47,1.7710000000000001,3.3445,2.32
ararat23,1.0,2.41,1.41,1.0,1.525,1.21,1.0,1.525,1.21
ararat31,3.226,1.0,1.53,1.0,2.3675,1.41,1.0,1.0,1.41
ararat32,3.1799999999999997,3.79,3.46,1.0,3.5335,1.56,1.0,3.5335,1.56
bendigo11,3.6500000000000004,1.4625,2.09,3.79,2.902,3.29,3.6500000000000004,1.4625,2.09
bendigo12,4.0645,2.628,3.19,3.8205,3.2635,3.52,3.8205,2.628,3.19
bendigo13,3.585,2.858,3.18,3.7445,3.2635,3.49,3.585,2.858,3.18
bendigo21,1.0,3.645,1.57,3.6095,2.323,2.83,1.0,2.323,1.57
bendigo22,1.0,1.2774999999999999,1.12,1.6099999999999999,2.196,1.86,1.0,1.2774999999999999,1.12
bendigo23,1.8765,2.5180000000000002,2.15,1.0,1.0,1.0,1.0,1.0,1.0
bendigo32,3.77,3.57,3.67,3.7655,3.56,3.66,3.7655,3.56,3.66
bendigo33,3.755,3.364,3.55,2.8899999999999997,3.5745,3.2,2.8899999999999997,3.364,3.2
elmore11,3.6380000000000003,2.7705,3.15,2.627,2.3235,2.47,2.627,2.3235,2.47
elmore12,3.1950000000000003,2.6985,2.93,3.58,1.6400000000000001,2.25,3.1950000000000003,1.6400000000000001,2.25
elmore13,3.35,2.359,2.77,3.73,2.9545,3.3,3.35,2.359,2.77
elmore21,3.8205,3.476,3.64,3.5985,3.5945,3.6,3.5985,3.476,3.6
elmore22,3.69,3.568,3.63,3.9000000000000004,1.268,1.91,3.69,1.268,1.91
elmore23,2.4050000000000002,2.41,2.41,2.05,2.638,2.31,2.05,2.41,2.31
elmore31,2.074,3.184,2.51,4.0,3.2,3.56,2.074,3.184,2.51
elmore32,4.02,3.578,3.79,3.4400000000000004,3.344,3.39,3.4400000000000004,3.344,3.39
shep11,3.34,1.816,2.35,3.7199999999999998,2.07,2.66,3.34,1.816,2.35
shep12,3.6550000000000002,2.526,2.99,3.3575,1.0,1.54,3.3575,1.0,1.54
shep13,2.6900000000000004,2.6955,2.69,1.0,1.4100000000000001,1.17,1.0,1.4100000000000001,1.17
shep21,3.2,3.588,3.38,3.665,3.14,3.38,3.2,3.14,3.38
shep22,2.521,3.708,3.0,3.685,2.5220000000000002,2.99,2.521,2.5220000000000002,2.99
shep23,3.432,3.0575,3.23,1.0,1.0,1.0,1.0,1.0,1.0
shep31,2.2,3.358,2.66,3.57,1.635,2.24,2.2,1.635,2.24
shep32,2.4699999999999998,3.3465,2.84,3.045,2.234,2.58,2.4699999999999998,2.234,2.58
shep33,1.95,3.554,2.52,3.7399999999999998,2.6799999999999997,3.12,1.95,2.6799999999999997,2.52
wang11,3.6955,3.625,3.66,3.9615,3.6335,3.79,3.6955,3.625,3.66
wang12,2.035,3.586,2.6,3.8899999999999997,3.505,3.69,2.035,3.505,2.6
wang13,3.4699999999999998,3.638,3.55,4.04,3.62,3.82,3.4699999999999998,3.62,3.55
wang21,3.65,3.488,3.57,2.1755,2.7225,2.42,2.1755,2.7225,2.42
wang22,3.76,2.972,3.32,3.7565,2.842,3.24,3.7565,2.842,3.24
wang23,3.815,3.552,3.68,3.74,2.8235,3.22,3.74,2.8235,3.22
wang31,3.62,2.6635,3.07,3.47,3.47,3.47,3.47,2.6635,3.07
wang32,2.8405,2.309,2.55,1.7349999999999999,3.5835,2.34,1.7349999999999999,2.309,2.34
wang33,2.5375,3.6135,2.98,3.5549999999999997,1.032,1.6,2.5375,1.032,1.6
myrtleford11,4.08,3.508,3.77,1.905,3.528,2.47,1.905,3.508,2.47
myrtleford12,3.86,3.545,3.7,3.295,3.2560000000000002,3.28,3.295,3.2560000000000002,3.28
myrtleford13,3.279,3.55,3.41,3.62,3.567,3.59,3.279,3.55,3.41
myrtleford21,3.765,3.362,3.55,3.79,3.316,3.54,3.765,3.316,3.54
myrtleford22,1.26,3.326,1.83,3.325,2.932,3.12,1.26,2.932,1.83
myrtleford23,3.94,3.5324999999999998,3.73,3.2350000000000003,3.0500000000000003,3.14,3.2350000000000003,3.0500000000000003,3.14
myrtleford32,1.684,1.222,1.42,1.926,1.656,1.78,1.684,1.222,1.42
euroa11,4.23,3.624,3.9,3.8499999999999996,3.508,3.67,3.8499999999999996,3.508,3.67
euroa12,4.095,3.03,3.48,3.6,3.508,3.55,3.6,3.03,3.48
euroa13,3.39,3.6,3.49,3.3815,3.589,3.48,3.3815,3.589,3.48
euroa21,3.3960000000000004,3.4915,3.44,3.6,3.174,3.37,3.3960000000000004,3.174,3.37
euroa22,2.8365,3.517,3.14,2.89,3.0140000000000002,2.95,2.8365,3.0140000000000002,2.95
euroa23,3.4765,3.5389999999999997,3.51,3.8449999999999998,3.63,3.73,3.4765,3.5389999999999997,3.51
euroa31,3.5250000000000004,3.098,3.3,2.678,1.75,2.12,2.678,1.75,2.12
euroa32,2.95,3.4635000000000002,3.19,1.1564999999999999,2.5895,1.6,1.1564999999999999,2.5895,1.6
seymore11,3.6665,3.5020000000000002,3.58,2.291,3.548,2.78,2.291,3.5020000000000002,2.78
seymore12,3.7755,3.575,3.67,4.058,3.6035,3.82,3.7755,3.575,3.67
seymore13,3.762,3.5195000000000003,3.64,3.42,3.6985,3.55,3.42,3.5195000000000003,3.55
seymore21,3.24,3.6505,3.43,3.71,1.94,2.55,3.24,1.94,2.55
seymore24,3.7,3.354,3.52,3.46,3.57,3.51,3.46,3.354,3.51
seymore31,3.762,3.6580000000000004,3.71,1.0,1.0,1.0,1.0,1.0,1.0
seymore33,3.64,3.6335,3.64,3.36,2.446,2.83,3.36,2.446,2.83
dandenong1,1.8115,2.739,2.18,2.555,3.494,2.95,1.8115,2.739,2.18
dandenong2,1.0,1.0,1.0,1.0,1.0805,1.04,1.0,1.0,1.0
dandenong3,1.0,1.2475,1.11,1.44,3.086,1.96,1.0,1.2475,1.11
mordialloc3,2.25,2.003,2.12,1.0,1.0270000000000001,1.01,1.0,1.0270000000000001,1.01
brighton1,4.1850000000000005,3.6345,3.89,4.220000000000001,3.634,3.91,4.1850000000000005,3.634,3.89
brighton2,3.575,3.646,3.61,4.16,3.64,3.88,3.575,3.64,3.61
brighton3,3.115,3.342,3.22,3.615,3.2640000000000002,3.43,3.115,3.2640000000000002,3.22
toorak1,2.311,3.0015,2.61,1.4465,1.77,1.59,1.4465,1.77,1.59
toorak2,1.9785,3.412,2.5,2.8920000000000003,3.114,3.0,1.9785,3.114,2.5
toorak3,2.108,2.622,2.34,1.7275,3.4025,2.29,1.7275,2.622,2.29
cbd1,2.23,2.466,2.34,3.825,1.0,1.59,2.23,1.0,1.59
cbd2,1.185,1.016,1.09,3.429,1.0,1.55,1.185,1.0,1.09
cbd3,3.435,2.596,2.96,1.0,1.0,1.0,1.0,1.0,1.0
brunswickwest1,2.13,1.6400000000000001,1.85,1.964,1.633,1.78,1.964,1.633,1.78
brunswickwest2,3.05,2.82,2.93,1.4849999999999999,2.927,1.97,1.4849999999999999,2.82,1.97
brunswickwest3,3.8200000000000003,3.124,3.44,3.4855,2.03,2.57,3.4855,2.03,2.57
northcote1,3.4800000000000004,1.988,2.53,2.8899999999999997,2.89,2.89,2.8899999999999997,1.988,2.53
northcote2,3.495,1.954,2.51,3.3449999999999998,1.0,1.54,3.3449999999999998,1.0,1.54
northcote3,3.7649999999999997,1.588,2.23,3.74,3.114,3.4,3.74,1.588,2.23
