condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1.0,50000,100000,50,4.248,3.6915,3.95,20000,50000,100,4.249,3.732,3.97,4.248,3.6915,3.95
1.1,50000,100000,50,4.1979999999999995,3.7115,3.94,20000,50000,100,4.262499999999999,3.6615,3.94,4.1979999999999995,3.6615,3.94
1.2,50000,100000,50,3.916,3.69,3.8,20000,50000,100,4.245,3.732,3.97,3.916,3.69,3.8
2.0,50000,100000,50,3.9575,3.68,3.81,5000,50000,100,4.055,3.7215000000000003,3.88,3.9575,3.68,3.81
2.1,50000,100000,50,4.125,3.732,3.92,5000,50000,100,3.86,3.7015000000000002,3.78,3.86,3.7015000000000002,3.78
2.2,50000,100000,50,4.26,3.706,3.96,5000,50000,100,4.2675,3.74,3.99,4.26,3.706,3.96
3.0,50000,100000,50,4.23,2.9760000000000004,3.49,1000,50000,100,3.66,3.7215000000000003,3.69,3.66,2.9760000000000004,3.49
3.1,50000,100000,50,3.41,3.5149999999999997,3.46,1000,50000,100,3.935,3.6830000000000003,3.8,3.41,3.5149999999999997,3.46
3.2,50000,100000,50,3.808,3.1005,3.42,1000,50000,100,4.032500000000001,3.692,3.85,3.808,3.1005,3.42
4.0,50000,100000,50,3.085,2.012,2.44,500,50000,100,2.946,3.541,3.22,2.946,2.012,2.44
4.1,50000,100000,50,3.564,2.169,2.7,500,50000,100,4.1525,3.74,3.94,3.564,2.169,2.7
4.2,50000,100000,50,3.644,3.0655,3.33,500,50000,100,4.236000000000001,3.705,3.95,3.644,3.0655,3.33
5.0,50000,100000,50,4.2775,3.7230000000000003,3.98,20000,25000,100,3.67,3.71,3.69,3.67,3.71,3.69
5.1,50000,100000,50,4.196000000000001,3.6830000000000003,3.92,20000,25000,100,4.092,3.66,3.86,4.092,3.66,3.86
5.2,50000,100000,50,4.0775,3.68,3.87,20000,25000,100,4.2275,3.664,3.93,4.0775,3.664,3.87
6.0,50000,100000,50,4.24,3.6125,3.9,5000,25000,100,4.235,3.69,3.94,4.235,3.6125,3.9
6.1,50000,100000,50,4.29,3.711,3.98,5000,25000,100,4.255,3.5775,3.89,4.255,3.5775,3.89
6.2,50000,100000,50,4.224,3.66,3.92,5000,25000,100,4.245,3.72,3.97,4.224,3.66,3.92
7.0,50000,100000,50,1.0,2.8385000000000002,1.48,1000,25000,100,2.17,3.1825,2.58,1.0,2.8385000000000002,1.48
7.1,50000,100000,50,2.4775,2.5845000000000002,2.53,1000,25000,100,4.154,3.68,3.9,2.4775,2.5845000000000002,2.53
7.2,50000,100000,50,4.162,2.766,3.32,1000,25000,100,4.1375,3.5574999999999997,3.83,4.1375,2.766,3.32
8.0,50000,100000,50,2.9535,1.228,1.73,500,25000,100,3.69,3.6535,3.67,2.9535,1.228,1.73
8.1,50000,100000,50,3.5025,1.4060000000000001,2.01,500,25000,100,4.2,3.6825,3.92,3.5025,1.4060000000000001,2.01
8.2,50000,100000,50,3.292,2.461,2.82,500,25000,100,4.050000000000001,3.673,3.85,3.292,2.461,2.82
9.0,50000,100000,50,4.077500000000001,3.6125,3.83,20000,12000,100,4.282500000000001,3.613,3.92,4.077500000000001,3.6125,3.83
9.1,50000,100000,50,4.178,3.7,3.92,20000,12000,100,4.26,3.7315,3.98,4.178,3.7,3.92
9.2,50000,100000,50,4.29,3.7030000000000003,3.97,20000,12000,100,4.16,3.65,3.89,4.16,3.65,3.89
10.0,50000,100000,50,4.171,3.69,3.92,5000,12000,100,4.076,3.596,3.82,4.076,3.596,3.82
10.1,50000,100000,50,3.855,3.6,3.72,5000,12000,100,4.262,3.6420000000000003,3.93,3.855,3.6,3.72
10.2,50000,100000,50,4.192,3.673,3.92,5000,12000,100,4.21,3.7,3.94,4.192,3.673,3.92
11.0,50000,100000,50,4.03,3.08,3.49,1000,12000,100,3.7675,3.72,3.74,3.7675,3.08,3.49
11.1,50000,100000,50,3.995,3.044,3.46,1000,12000,100,4.1925,3.6645000000000003,3.91,3.995,3.044,3.46
11.2,50000,100000,50,3.5,3.003,3.23,1000,12000,100,4.245,3.75,3.98,3.5,3.003,3.23
12.0,50000,100000,50,3.62,2.792,3.15,500,12000,100,4.28,3.73,3.99,3.62,2.792,3.15
12.1,50000,100000,50,3.588,1.9880000000000002,2.56,500,12000,100,4.109999999999999,3.616,3.85,3.588,1.9880000000000002,2.56
12.2,50000,100000,50,3.55,2.94,3.22,500,12000,100,4.215,3.7315,3.96,3.55,2.94,3.22
13.0,50000,100000,50,4.165,3.665,3.9,20000,5000,100,4.245,3.686,3.95,4.165,3.665,3.9
13.1,50000,100000,50,4.2725,3.682,3.96,20000,5000,100,4.195,3.632,3.89,4.195,3.632,3.89
13.2,50000,100000,50,4.282,3.733,3.99,20000,5000,100,4.14,3.624,3.86,4.14,3.624,3.86
14.0,50000,100000,50,4.045,3.673,3.85,5000,5000,100,4.2275,3.66,3.92,4.045,3.66,3.85
14.1,50000,100000,50,4.271999999999999,3.6615,3.94,5000,5000,100,4.2225,3.68,3.93,4.2225,3.6615,3.93
14.2,50000,100000,50,4.27,3.7430000000000003,3.99,5000,5000,100,4.215,3.702,3.94,4.215,3.702,3.94
15.0,50000,100000,50,3.6100000000000003,3.444,3.53,1000,5000,100,3.875,3.68,3.77,3.6100000000000003,3.444,3.53
15.1,50000,100000,50,4.106,2.5115,3.12,1000,5000,100,4.262499999999999,3.662,3.94,4.106,2.5115,3.12
15.2,50000,100000,50,3.755,2.008,2.62,1000,5000,100,3.917,3.6225,3.76,3.755,2.008,2.62
16.0,50000,100000,50,2.85,1.6225,2.07,500,5000,100,4.21,3.661,3.92,2.85,1.6225,2.07
16.1,50000,100000,50,3.79,2.7725,3.2,500,5000,100,4.1259999999999994,3.6315,3.86,3.79,2.7725,3.2
16.2,50000,100000,50,2.755,1.2325000000000002,1.7,500,5000,100,1.4300000000000002,3.63,2.05,1.4300000000000002,1.2325000000000002,1.7
17.0,50000,100000,50,4.028,3.6915,3.85,20000,2000,100,3.8225,3.642,3.73,3.8225,3.642,3.73
17.1,50000,100000,50,4.162,3.7115,3.92,20000,2000,100,4.2,3.312,3.7,4.162,3.312,3.7
17.2,50000,100000,50,4.302,3.6915,3.97,20000,2000,100,4.184,3.5260000000000002,3.83,4.184,3.5260000000000002,3.83
18.0,50000,100000,50,3.8649999999999998,3.71,3.79,5000,2000,100,3.3419999999999996,3.421,3.38,3.3419999999999996,3.421,3.38
18.1,50000,100000,50,4.28,3.714,3.98,5000,2000,100,4.1625000000000005,3.542,3.83,4.1625000000000005,3.542,3.83
18.2,50000,100000,50,4.254,3.4610000000000003,3.82,5000,2000,100,4.235,3.3024999999999998,3.71,4.235,3.3024999999999998,3.71
19.0,50000,100000,50,2.8395,2.19,2.47,1000,2000,100,3.4,3.472,3.44,2.8395,2.19,2.47
19.1,50000,100000,50,3.728,2.0475,2.64,1000,2000,100,3.33,3.44,3.38,3.33,2.0475,2.64
19.2,50000,100000,50,3.736,3.036,3.35,1000,2000,100,4.1425,3.528,3.81,3.736,3.036,3.35
20.0,50000,100000,50,3.294,2.087,2.56,500,2000,100,4.0425,3.576,3.79,3.294,2.087,2.56
