condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1.0,1000.0,2000,750,-1.0,-1.0,-1.0,20000.0,25000,250,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,1000.0,5000,250,3.34,3.544,3.44,20000.0,50000,100,2.476,3.1,2.75,2.476,3.1,2.75
1.0,5000.0,50000,250,3.975,3.642,3.8,20000.0,25000,100,3.8825,3.569,3.72,3.8825,3.569,3.72
1.0,500.0,2000,550,1.62,3.367,2.19,20000.0,25000,250,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1000.0,12000,400,3.346,3.692,3.51,20000.0,50000,100,3.831,1.404,2.05,3.346,1.404,2.05
1.0,5000.0,25000,750,1.758,3.5405,2.35,20000.0,25000,100,4.16,3.58,3.85,1.758,3.5405,2.35
1.0,1000.0,12000,250,3.59,3.741,3.66,20000.0,25000,100,2.632,1.742,2.1,2.632,1.742,2.1
1.0,500.0,50000,400,2.388,1.6365,1.94,20000.0,25000,250,2.7015,2.4610000000000003,2.58,2.388,1.6365,1.94
1.0,1000.0,12000,400,3.28,3.684,3.47,20000.0,50000,100,3.9075,2.56,3.09,3.28,2.56,3.09
2.0,5000.0,25000,250,3.828,3.627,3.72,20000.0,25000,400,3.4975,3.553,3.53,3.4975,3.553,3.53
2.0,500.0,2000,250,1.1225,2.5185,1.55,20000.0,12000,100,1.63,1.58,1.6,1.1225,1.58,1.55
2.0,20000.0,5000,400,3.285,3.68,3.47,20000.0,50000,250,3.898,3.7,3.8,3.285,3.68,3.47
2.0,20000.0,50000,400,3.0375,3.656,3.32,20000.0,25000,400,3.528,3.1815,3.35,3.0375,3.1815,3.32
2.0,500.0,50000,400,2.535,3.0125,2.75,20000.0,50000,250,1.064,2.1950000000000003,1.43,1.064,2.1950000000000003,1.43
2.0,1000.0,12000,550,2.36,3.6315,2.86,20000.0,12000,100,4.17,3.052,3.52,2.36,3.052,2.86
2.0,20000.0,25000,100,4.2125,3.664,3.92,20000.0,25000,400,4.204,3.694,3.93,4.204,3.664,3.92
2.0,20000.0,12000,100,4.076,3.6815,3.87,20000.0,12000,100,4.2525,3.7,3.96,4.076,3.6815,3.87
2.0,500.0,5000,550,2.844,3.701,3.22,20000.0,50000,250,3.276,2.7235,2.97,2.844,2.7235,2.97
3.0,500.0,5000,250,3.2625,3.6115,3.43,20000.0,50000,400,1.02,3.046,1.53,1.02,3.046,1.53
