identifier,avg_up_ellen,avg_down_ellen,avg_rtt_ellen,avg_ellen_jitter,avg_pl_ellen,avg_up_aadya,avg_down_aadya,avg_rtt_aadya,avg_jitter_aadya,avg_pl_aadya,sd_up_ellen,sd_down_ellen,sd_rtt_ellen,sd_jitter_ellen,sd_pl_ellen,sd_up_aadya,sd_down_aadya,sd_rtt_aadya,sd_jitter_aadya,sd_pl_aadya,avg_down_google,avg_up_google,avg_rtt_google,sd_down_google,sd_up_google,sd_rtt_google,distance,telstra_distance,line_of_sight,telstra_line_of_sight,urban,e_audio_mos,e_video_mos,e_mos,a_audio_mos,a_video_mos,a_mos,agg_audio_mos,agg_video_mos,agg_mos,score_ellen,score_aadya,score_min,serviceable_ellen,serviceable_aadya,serviceable_agg
colac1,2.2,26.5,32.67,24.33,0.24,3.08,40.0,31.0,13.67,0.0,0.51,5.96,4.51,4.16,0.41,1.31,12.41,3.61,5.51,0.0,5.82,1.1,61.49,0.29,0.04,11.1,0.11,0.57,,,0.0,1.46,3.194,2.0,1.945,2.576,2.22,1.46,2.576,2.0,2.5,2.4,2.4,0.0,0.0,0.0
colac2,1.26,12.09,34.67,29.0,0.0,1.0,5.6,43.67,49.33,0.0,0.51,9.46,9.07,13.53,0.0,0.4,4.62,10.21,40.08,0.0,5.82,1.1,61.49,0.85,0.04,11.1,0.53,0.63,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2333333333333334,1.6333333333333335,1.2333333333333334,0.0,0.0,0.0
colac3,6.54,43.83,28.33,8.0,0.0,4.81,11.65,30.67,13.0,0.15,2.31,2.89,0.58,2.0,0.0,0.87,5.72,7.77,6.24,0.27,5.82,1.1,61.49,0.85,0.04,11.1,0.47,1.1,,,0.0,3.275,2.57,2.88,3.8,3.319,3.54,3.275,2.57,2.88,1.8,1.9,1.8,0.0,1.0,0.0
dunkeld1,14.17,80.53,33.67,11.67,0.0,42.57,58.23,28.33,12.0,0.13,12.19,11.16,2.08,7.57,0.0,39.03,43.23,2.08,5.2,0.23,6.65,2.87,51.43,0.85,0.04,7.37,0.98,1.4,,,0.0,2.825,3.518,3.13,1.4,1.0,1.17,1.4,1.0,1.17,3.6,3.0,3.0,1.0,1.0,1.0
dunkeld2,2.12,36.27,49.5,69.0,2.05,20.96,78.13,31.67,12.67,0.0,2.77,44.17,21.92,80.61,2.9,10.82,6.28,2.52,0.58,0.0,6.65,2.87,51.43,0.85,0.04,7.37,0.83,1.66,,,0.0,1.0,2.65,1.45,3.8025,3.3875,3.58,1.0,2.65,1.45,2.6,2.5,2.15,0.0,0.5,0.0
dunkeld3,7.61,84.5,42.0,9.5,0.0,6.29,49.1,29.67,8.33,0.0,0.58,3.82,1.41,3.54,0.0,3.47,7.54,1.15,1.53,0.0,6.65,2.87,51.43,0.85,0.04,7.37,0.93,0.97,,,0.0,2.87975,2.1790000000000003,2.48,2.4450000000000003,1.73,2.025,2.4425,1.73,2.025,2.4000000000000004,2.25,2.25,0.0,0.0,0.0
ararat1,36.0,45.1,28.33,18.0,0.0,23.57,51.73,27.87,7.0,0.0,2.36,10.55,4.16,2.0,0.0,15.4,29.62,7.34,3.46,0.0,4.65,1.44,39.43,0.85,0.04,9.9,0.14,0.43,,,0.0,3.4333333333333336,2.562,2.853333333333333,2.51,3.605,2.8433333333333333,2.43,2.562,2.57,4.3,4.0,4.0,1.0,1.0,1.0
ararat2,20.77,22.23,19.81,18.54,19.35,23.22,27.42,12.89,7.5,0.0,1.04,11.23,4.04,6.66,0.0,2.95,31.0,2.08,14.8,0.0,4.65,1.44,39.43,0.85,0.04,9.9,0.91,1.13,,,0.0,2.1653333333333333,2.936833333333334,2.36,2.91,2.8471666666666664,2.853333333333333,2.1653333333333333,2.6398333333333333,2.293333333333333,3.3333333333333335,3.0,2.966666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666
ararat3,7.06,44.47,32.0,14.67,0.0,4.14,20.18,28.33,17.33,0.0,6.27,18.65,1.73,9.81,0.0,1.0,15.18,4.16,13.05,0.0,4.65,1.44,39.43,0.85,0.04,9.9,0.92,0.92,,,0.0,3.2030000000000003,2.395,2.495,1.0,2.9505,1.485,1.0,2.26675,1.485,3.55,2.25,2.25,0.5,0.5,0.5
bendigo1,4.3,45.67,28.0,10.0,0.0,6.08,52.5,27.0,11.33,0.38,3.39,14.14,2.0,1.73,0.0,1.35,21.07,4.58,6.43,0.36,4.77,0.78,73.07,0.85,0.04,5.6,0.22,0.22,,,0.0,3.7665,2.3161666666666667,2.8200000000000003,3.785,3.143,3.4333333333333336,3.685166666666667,2.3161666666666667,2.8200000000000003,2.3666666666666667,2.8333333333333335,2.3666666666666667,0.0,0.3333333333333333,0.0
bendigo2,2.75,9.18,33.33,43.33,0.12,3.1,18.41,30.67,27.67,4.33,1.13,3.83,5.51,47.34,0.21,3.22,17.58,11.93,14.22,7.51,4.77,0.78,73.07,0.85,0.04,5.6,0.4,0.4,,,0.0,1.292166666666667,2.480166666666667,1.6133333333333333,2.073166666666667,1.8396666666666668,1.8966666666666667,1.0,1.5335,1.2300000000000002,1.6333333333333335,1.5,1.2666666666666666,0.0,0.3333333333333333,0.0
bendigo3,9.71,71.3,26.67,15.33,0.0,6.78,49.56,25.33,8.0,2.33,4.93,21.04,2.08,0.58,0.0,1.96,42.08,3.79,1.73,2.08,4.77,0.78,73.07,0.85,0.04,5.6,0.4,0.59,,,0.0,3.7625,3.467,3.61,3.32775,3.56725,3.43,3.32775,3.462,3.43,2.9,2.75,2.65,0.0,0.0,0.0
