identifier     ,e_audio_mos        ,e_video_mos        ,e_mos ,a_audio_mos        ,a_video_mos        ,a_mos ,agg_audio_mos      ,agg_video_mos      ,agg_mos ,score_ellen ,score_aadya ,score_min ,serviceable_ellen ,serviceable_aadya ,serviceable_agg
colac12        ,1.46               ,3.194              , 2.0  ,1.945              ,2.576              , 2.22 ,1.46               ,2.576              ,   2.0  ,        2.5 ,        2.4 ,      2.4 ,                0 ,                0 ,              0
colac23        ,1.0                ,1.0                , 1.0  ,1.0                ,1.0                , 1.0  ,1.0                ,1.0                ,   1.0  ,        1.2 ,        1.3 ,      1.2 ,                0 ,                0 ,              0
colac31        ,3.275              ,2.57               , 2.88 ,3.8                ,3.319              , 3.54 ,3.275              ,2.57               ,   2.88 ,        1.8 ,        1.9 ,      1.8 ,                0 ,                1 ,              0
dunkeld12      ,2.825              ,3.518              , 3.13 ,1.4                ,1.0                , 1.17 ,1.4                ,1.0                ,   1.17 ,        3.6 ,        3.0 ,      3.0 ,                1 ,                1 ,              1
dunkeld23      ,1.0                ,2.65               , 1.45 ,3.8025             ,3.3875             , 3.58 ,1.0                ,2.65               ,   1.45 ,        3.9 ,        3.0 ,      3.0 ,                0 ,                1 ,              0
dunkeld31      ,2.2495             ,1.658              , 1.91 ,1.375              ,1.0                , 1.16 ,1.375              ,1.0                ,   1.16 ,        2.1 ,        2.0 ,      2.0 ,                0 ,                0 ,              0
dunkeld33      ,3.51               ,2.7                , 3.05 ,3.515              ,2.46               , 2.89 ,3.51               ,2.46               ,   2.89 ,        2.7 ,        2.5 ,      2.5 ,                0 ,                0 ,              0
ararat11       ,2.75               ,1.0                , 1.47 ,1.535              ,3.478              , 2.13 ,1.535              ,1.0                ,   1.47 ,        4.1 ,        4.0 ,      4.0 ,                1 ,                1 ,              1
ararat12       ,3.725              ,3.5                , 3.61 ,3.965              ,3.59               , 3.77 ,3.725              ,3.5                ,   3.61 ,        4.3 ,        4.0 ,      4.0 ,                1 ,                1 ,              1
ararat13       ,3.825              ,3.186              , 3.48 ,2.03               ,3.747              , 2.63 ,2.03               ,3.186              ,   2.63 ,        4.5 ,        4.0 ,      4.0 ,                1 ,                1 ,              1
ararat21       ,3.725              ,3.05               , 3.35 ,4.12               ,3.672              , 3.88 ,3.725              ,3.05               ,   3.35 ,        3.9 ,        4.0 ,      3.9 ,                1 ,                1 ,              1
ararat22       ,1.771              ,3.3505000000000003 , 2.32 ,3.61               ,3.3445             , 3.47 ,1.771              ,3.3445             ,   2.32 ,        4.1 ,        3.0 ,      3.0 ,                1 ,                1 ,              1
ararat23       ,1.0                ,2.41               , 1.41 ,1.0                ,1.525              , 1.21 ,1.0                ,1.525              ,   1.21 ,        2.0 ,        2.0 ,      2.0 ,                0 ,                0 ,              0
ararat31       ,3.226              ,1.0                , 1.53 ,1.0                ,2.3675             , 1.41 ,1.0                ,1.0                ,   1.41 ,        3.4 ,        2.0 ,      2.0 ,                0 ,                0 ,              0
