condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1,20000.0,50000.0,100.0,4.163,3.71,3.92,20000.0,50000.0,100.0,4.1375,3.616,3.86,4.042,3.616,3.86
2,20000.0,50000.0,250.0,3.99,3.643,3.81,20000.0,50000.0,250.0,3.87,3.6425,3.75,3.65,3.636,3.63
3,20000.0,50000.0,400.0,3.5875,3.4815,3.53,20000.0,50000.0,400.0,3.4480000000000004,3.61,3.53,3.4480000000000004,3.4505000000000003,3.53
4,20000.0,50000.0,550.0,3.06,3.631,3.34,20000.0,50000.0,550.0,2.765,3.662,3.14,2.765,3.557,3.14
5,20000.0,50000.0,750.0,2.304,3.632,2.83,20000.0,50000.0,750.0,2.488,3.425,2.88,2.275,3.242,2.65
6,20000.0,25000.0,100.0,4.1625,3.68,3.9,20000.0,25000.0,100.0,4.24,3.677,3.93,4.1625,3.6615,3.9
7,20000.0,25000.0,250.0,3.8925,3.7,3.79,20000.0,25000.0,250.0,3.741,3.629,3.7,3.741,3.629,3.7
8,20000.0,25000.0,400.0,3.4215,3.6715,3.57,20000.0,25000.0,400.0,3.486,3.416,3.45,3.396,3.416,3.45
9,20000.0,25000.0,550.0,2.5,3.653,2.97,20000.0,25000.0,550.0,2.95,3.65,3.28,2.5,3.65,2.97
10,20000.0,25000.0,750.0,2.2215000000000003,3.5635,2.78,20000.0,25000.0,750.0,2.042,3.4035,2.48,2.042,3.4035,2.48
11,20000.0,12000.0,100.0,4.061999999999999,3.714,3.89,20000.0,12000.0,100.0,4.157,3.636,3.88,3.9,3.636,3.79
12,20000.0,12000.0,250.0,4.004,3.633,3.81,20000.0,12000.0,250.0,3.864,3.634,3.75,3.753,3.633,3.73
13,20000.0,12000.0,400.0,3.022,3.7045,3.31,20000.0,12000.0,400.0,3.286,3.634,3.44,3.022,3.634,3.31
14,20000.0,12000.0,550.0,3.0025,3.64,3.29,20000.0,12000.0,550.0,2.895,3.55,3.19,2.895,3.55,3.19
15,20000.0,12000.0,750.0,2.264,3.5655,2.66,20000.0,12000.0,750.0,1.7999999999999998,3.618,2.35,1.7999999999999998,3.3880000000000003,2.35
16,20000.0,5000.0,100.0,4.245,3.66,3.92,20000.0,5000.0,100.0,4.0375,3.607,3.7,3.745,3.607,3.7
17,20000.0,5000.0,250.0,3.97,3.73,3.77,20000.0,5000.0,250.0,3.84,3.6425,3.74,3.81,3.564,3.74
18,20000.0,5000.0,400.0,3.2525,3.6505,3.45,20000.0,5000.0,400.0,3.325,3.65,3.48,3.234,3.63,3.43
19,20000.0,5000.0,550.0,3.07,3.71,3.33,20000.0,5000.0,550.0,2.8025,3.614,3.17,2.8025,3.614,3.17
20,20000.0,5000.0,750.0,2.14,3.4885,2.65,20000.0,5000.0,750.0,2.28,3.582,2.79,2.14,3.4885,2.65
21,20000.0,2000.0,100.0,3.2525000000000004,3.334,3.27,20000.0,2000.0,100.0,3.4330000000000003,3.286,3.36,3.2525000000000004,3.286,3.27
22,20000.0,2000.0,250.0,2.266,2.35025,2.3,20000.0,2000.0,250.0,2.5700000000000003,2.9539999999999997,2.7199999999999998,2.266,2.35025,2.3
23,20000.0,2000.0,400.0,2.3745000000000003,3.198,2.73,20000.0,2000.0,400.0,2.27,2.616,2.48,2.1425,2.545,2.33
24,20000.0,2000.0,550.0,1.73,2.3985,2.01,20000.0,2000.0,550.0,1.735,2.672,1.98,1.73,2.2985,1.98
25,20000.0,2000.0,750.0,1.42,2.9545000000000003,1.92,20000.0,2000.0,750.0,1.345,2.8825,1.82,1.345,2.8825,1.82
26,5000.0,50000.0,100.0,4.16,3.642,3.88,5000.0,50000.0,100.0,4.086,3.62,3.84,4.086,3.62,3.84
27,5000.0,50000.0,250.0,4.0225,3.6815,3.84,5000.0,50000.0,250.0,3.732,3.455,3.56,3.732,3.455,3.56
28,5000.0,50000.0,400.0,3.339,3.6615,3.5,5000.0,50000.0,400.0,3.17,3.63,3.39,3.17,3.623,3.39
29,5000.0,50000.0,550.0,2.915,3.06,2.93,5000.0,50000.0,550.0,2.9425,3.632,3.25,2.915,3.06,2.93
30,5000.0,50000.0,750.0,2.3275,3.6955,2.87,5000.0,50000.0,750.0,2.0275,3.69,2.58,2.0275,3.69,2.58
31,5000.0,25000.0,100.0,4.204,3.6815,3.93,5000.0,25000.0,100.0,4.22,3.6125,3.89,4.202000000000001,3.6125,3.89
32,5000.0,25000.0,250.0,3.725,3.672,3.7,5000.0,25000.0,250.0,3.98,3.5825,3.73,3.725,3.5825,3.7
33,5000.0,25000.0,400.0,3.422,3.7,3.55,5000.0,25000.0,400.0,3.3325,3.595,3.46,3.3325,3.595,3.46
34,5000.0,25000.0,550.0,2.93,3.683,3.23,5000.0,25000.0,550.0,2.5175,3.51,2.98,2.5175,3.51,2.98
35,5000.0,25000.0,750.0,2.3045,3.6205,2.81,5000.0,25000.0,750.0,2.208,3.0425,2.62,2.208,3.0425,2.62
36,5000.0,12000.0,100.0,4.1,3.655,3.88,5000.0,12000.0,100.0,4.107,3.6035,3.84,3.8805,3.6035,3.76
37,5000.0,12000.0,250.0,3.93,3.671,3.8,5000.0,12000.0,250.0,3.3920000000000003,3.5675,3.49,3.3920000000000003,3.5675,3.49
38,5000.0,12000.0,400.0,3.428,3.603,3.41,5000.0,12000.0,400.0,3.4325,3.658,3.49,3.045,3.5580000000000003,3.32
39,5000.0,12000.0,550.0,2.955,3.633,3.23,5000.0,12000.0,550.0,2.9675,3.63,3.27,2.955,3.622,3.23
40,5000.0,12000.0,750.0,2.08,3.64,2.62,5000.0,12000.0,750.0,2.182,3.6105,2.7,2.044,3.525,2.44
41,5000.0,5000.0,100.0,4.192500000000001,3.642,3.9,5000.0,5000.0,100.0,4.074,3.5725,3.79,4.074,3.5725,3.79
42,5000.0,5000.0,250.0,3.912,3.681,3.79,5000.0,5000.0,250.0,3.5650000000000004,3.58,3.57,3.5650000000000004,3.535,3.57
43,5000.0,5000.0,400.0,3.528,3.69,3.62,5000.0,5000.0,400.0,3.365,3.662,3.34,3.365,3.662,3.34
44,5000.0,5000.0,550.0,2.82,3.666,3.2,5000.0,5000.0,550.0,2.9825,3.622,3.28,2.58,3.622,3.03
45,5000.0,5000.0,750.0,2.152,3.487,2.66,5000.0,5000.0,750.0,1.96,3.075,2.12,1.952,3.075,2.12
46,5000.0,2000.0,100.0,3.3325,3.0465,3.1,5000.0,2000.0,100.0,3.155,3.135,3.14,3.0,3.0465,3.09
47,5000.0,2000.0,250.0,2.7,3.326,2.96,5000.0,2000.0,250.0,3.075,3.392,3.25,2.7,3.326,2.96
48,5000.0,2000.0,400.0,2.458,3.3320000000000003,2.83,5000.0,2000.0,400.0,2.307,2.7675,2.53,2.205,2.7675,2.53
49,5000.0,2000.0,550.0,1.9625,2.994,2.46,5000.0,2000.0,550.0,1.865,2.854,2.39,1.865,2.838,2.39
50,5000.0,2000.0,750.0,1.6245,3.303,2.18,5000.0,2000.0,750.0,1.3575,2.852,1.87,1.3575,2.852,1.79
51,1000.0,50000.0,100.0,2.54,1.722,2.05,1000.0,50000.0,100.0,2.2070000000000003,1.318,1.66,2.2070000000000003,1.318,1.66
52,1000.0,50000.0,250.0,3.19,3.0525,2.86,1000.0,50000.0,250.0,1.858,1.048,1.3,1.858,1.048,1.3
53,1000.0,50000.0,400.0,1.936,3.06,2.44,1000.0,50000.0,400.0,1.465,1.616,1.67,1.465,1.616,1.67
54,1000.0,50000.0,550.0,1.4425,3.341,1.95,1000.0,50000.0,550.0,1.0625,1.5775,1.31,1.0625,1.5775,1.31
55,1000.0,50000.0,750.0,1.1145,3.153,1.65,1000.0,50000.0,750.0,1.1275,2.364,1.53,1.038,2.19,1.52
56,1000.0,25000.0,100.0,2.798,3.363,3.15,1000.0,25000.0,100.0,2.379,2.7475,1.98,2.379,2.7475,1.98
57,1000.0,25000.0,250.0,1.918,3.0745,2.26,1000.0,25000.0,250.0,2.036,1.8225,1.92,1.841,1.8225,1.92
58,1000.0,25000.0,400.0,2.516,3.1500000000000004,2.63,1000.0,25000.0,400.0,1.4175,1.2460000000000002,1.32,1.4175,1.2460000000000002,1.32
59,1000.0,25000.0,550.0,2.236,3.7,2.79,1000.0,25000.0,550.0,1.065,1.5060000000000002,1.25,1.065,1.5060000000000002,1.25
60,1000.0,25000.0,750.0,1.039,3.0865,1.53,1000.0,25000.0,750.0,1.0025,2.3075,1.4,1.0025,2.3075,1.4
61,1000.0,12000.0,100.0,2.864,3.054,2.89,1000.0,12000.0,100.0,2.357,2.155,2.25,2.357,2.155,2.25
62,1000.0,12000.0,250.0,2.254,2.886,2.19,1000.0,12000.0,250.0,1.766,1.564,1.38,1.745,1.564,1.38
63,1000.0,12000.0,400.0,1.78,2.9715000000000003,2.23,1000.0,12000.0,400.0,1.42,2.084,1.64,1.35,2.084,1.64
64,1000.0,12000.0,550.0,1.2580000000000002,2.692,1.78,1000.0,12000.0,550.0,1.128,1.0975,1.08,1.056,1.0975,1.08
65,1000.0,12000.0,750.0,1.019,3.2085,1.57,1000.0,12000.0,750.0,1.004,1.033,1.04,1.0,1.033,1.04
66,1000.0,5000.0,100.0,3.88,2.984,3.36,1000.0,5000.0,100.0,2.3600000000000003,1.664,1.85,2.3600000000000003,1.664,1.85
67,1000.0,5000.0,250.0,1.5,1.1515000000000002,1.3,1000.0,5000.0,250.0,1.7425000000000002,1.51,1.62,1.5,1.1515000000000002,1.3
68,1000.0,5000.0,400.0,2.186,3.022,2.54,1000.0,5000.0,400.0,1.42,1.772,1.58,1.42,1.772,1.58
69,1000.0,5000.0,550.0,1.5,2.9,1.73,1000.0,5000.0,550.0,1.2075,1.563,1.63,1.2075,1.563,1.63
70,1000.0,5000.0,750.0,1.132,2.971,1.62,1000.0,5000.0,750.0,1.046,1.5530000000000002,1.22,1.046,1.5530000000000002,1.22
71,1000.0,2000.0,100.0,2.6775,3.12,3.02,1000.0,2000.0,100.0,2.196,2.255,2.23,2.196,2.255,2.23
72,1000.0,2000.0,250.0,2.212,3.0515,2.25,1000.0,2000.0,250.0,1.8085,1.0,1.32,1.78,1.0,1.32
73,1000.0,2000.0,400.0,1.284,3.4145000000000003,1.87,1000.0,2000.0,400.0,1.38,1.2105,1.29,1.284,1.2105,1.29
74,1000.0,2000.0,550.0,1.352,3.0015,1.93,1000.0,2000.0,550.0,1.752,2.106,1.91,1.255,2.106,1.63
75,1000.0,2000.0,750.0,1.0,1.357,1.15,1000.0,2000.0,750.0,1.0,1.1325,1.06,1.0,1.1325,1.06
76,500.0,50000.0,100.0,1.034,3.517,1.6,500.0,50000.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0
77,500.0,50000.0,250.0,1.0,1.777,1.31,500.0,50000.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0
78,500.0,50000.0,400.0,1.1975,3.2270000000000003,1.74,500.0,50000.0,400.0,1.0,1.0,1.0,1.0,1.0,1.0
79,500.0,50000.0,550.0,1.154,3.28,1.72,500.0,50000.0,550.0,1.0,1.008,1.0,1.0,1.008,1.0
80,500.0,50000.0,750.0,1.0,2.612,1.47,500.0,50000.0,750.0,1.0,1.0675,1.03,1.0,1.0675,1.03
81,500.0,25000.0,100.0,1.0,3.284,1.55,500.0,25000.0,100.0,1.0,1.0,1.02,1.0,1.0,1.02
