condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
1,50000,100000,50,4.12,3.5869999999999997,3.84,20000,50000,100,4.01,3.5694999999999997,3.78,4.01,3.5694999999999997,3.78
26,50000,100000,50,3.944,3.615,3.77,5000,25000,250,3.4600000000000004,3.63,3.54,3.4600000000000004,3.615,3.54
31,50000,100000,50,2.512,1.055,1.49,1000,12000,250,3.0975,3.55,3.31,2.512,1.055,1.49
49,50000,100000,50,3.822,3.515,3.66,20000,12000,400,2.84,3.7,3.21,2.84,3.515,3.21
51,50000,100000,50,2.737,1.698,2.1,1000,12000,400,2.624,3.6645000000000003,3.06,2.624,1.698,2.1
57,50000,100000,50,4.093,3.488,3.77,20000,2000,400,2.184,1.995,2.09,2.184,1.995,2.09
83,50000,100000,50,3.431,2.7975000000000003,3.08,1000,50000,750,1.688,3.5915,2.3,1.688,2.7975000000000003,2.3
85,50000,100000,50,3.819,3.566,3.69,20000,25000,750,2.302,3.5524999999999998,2.79,2.302,3.5524999999999998,2.79
87,50000,100000,50,2.78,1.4240000000000004,1.88,1000,25000,750,2.324,3.6915,2.85,2.324,1.4240000000000004,1.88
94,50000,100000,50,3.7520000000000002,3.054,3.37,5000,5000,750,1.462,3.6700000000000004,2.09,1.462,3.054,2.09
98,50000,100000,50,4.139,3.67,3.89,5000,2000,750,1.084,2.65,1.54,1.084,2.65,1.54
