ID             ,IT01V_packetsRecieved_ellen ,IT01V_packetsRecieved_aadya ,IT01V_packetsLost_ellen ,IT01V_packetsLost_aadya ,IT01V_frameWidth_ellen ,IT01V_frameWidth_aadya ,IT01V_frameHeight_ellen ,IT01V_frameHeight_aadya ,IT01V_totalFreezesDuration_ellen ,IT01V_totalFreezesDuration_aadya ,IT01V_framesPerSecond_ellen ,IT01V_framesPerSecond_aadya ,IT01V_bytesReceived_in_bits_s_ellen ,IT01V_bytesReceived_in_bits_s_aadya ,IT01V_totalProcessingDelay_ellen ,IT01V_totalProcessingDelay_aadya ,IT01V_jitter_ellen   ,IT01V_jitter_aadya   ,IT01V_jitterBufferDelay_emissions_ellen ,IT01V_jitterBufferDelay_emissions_aadya ,IT01A_bytesReceived_in_bits_s_ellen ,IT01A_bytesReceived_in_bits_s_aadya ,IT01A_jitterBufferDelay_emissions_ellen ,IT01A_jitterBufferDelay_emissions_aadya ,OT01V_packetsSent_s_ellen ,OT01V_packetsSent_s_aadya ,OT01V_bytesSent_in_bits_s_ellen ,OT01V_bytesSent_in_bits_s_aadya ,OT01V_frameWidth_ellen ,OT01V_frameWidth_aadya ,OT01V_framesPerSecond_ellen ,OT01V_framesPerSecond_aadya ,OT01V_totalPacketSendDelay_ellen ,OT01V_totalPacketSendDelay_aadya ,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen ,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya ,RIV_roundTripTime_ellen ,RIV_roundTripTime_aadya ,RIV_fractionLost_ellen ,RIV_fractionLost_aadya ,RIA_fractionLost_ellen ,RIA_fractionLost_aadya ,RIA_roundTripTime_ellen ,RIA_roundTripTime_aadya ,ROA_roundTripTime_ellen ,ROA_roundTripTime_aadya ,AP_totalPlayoutDelay_ellen ,AP_totalPlayoutDelay_aadya
colac12        ,        164.8420559783518   ,        82.23941794538912   ,     8.0                ,     9.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         29.0               ,        23.8                ,                1376411.0957281908  ,                646586.2360851025   ,             112.39841410000001  ,             121.33579330000002  ,0.025                ,0.028100000000000003 ,                    299.9812066666664   ,                    463.7377588172045   ,                                0.0 ,                    0.0             ,                     346.66666666666464 ,                     251.8181818181816  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         25.4               ,                       30.0 ,             66.675146           ,             7.633722            ,                            21.76280487804877      ,                             3.4409111111111064    ,   0.235123             ,    0.096024            ,   0.0                 , 0.0                   , 0.0078125             ,    0.0                ,   0.3392489999999999   ,   0.079895             ,   0.17066230000000002  ,   0.115738             ,        56926.463832       ,         95396.4696
colac23        ,         25.302077325812082 ,         2.9988049713364275 ,     0.0                ,     0.0                ,                 480.0 ,                 320.0 ,                  270.0 ,                  180.0 ,              1.264              ,              1.871              ,          3.2               ,         5.0                ,                 193252.54048476552 ,                 25606.135691190302 ,             125.6134091         ,               6.178209          ,0.1004               ,0.143                ,                    568.8937227272725   ,                     94.47185714285719  ,                                0.0 ,                    0.0             ,                     659.8979591836747  ,                    1709.2307692307702  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 320.0 ,                 320.0 ,          2.0               ,                        9.1 ,              9.749310699999999  ,           458.848152            ,                            79.2128076923077       ,                          1336.468653846153        ,   1.0709026000000001   ,    0.121017            ,   0.0                 , 0.0                   , 0.06640625            ,    0.03125            ,   0.2922197000000001   ,   0.080673             ,   0.4037779999999999   ,   0.08742199999999992  ,        55561.6086984      ,         95378.76230399999
colac31        ,        135.94653927725062  ,       155.48529223805346   ,    10.0                ,     4.100000000000001  ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         17.8               ,        26.6                ,                1162919.6391144202  ,               1325908.622600444    ,              98.5977216         ,              61.256505800000006 ,0.028300000000000006 ,0.026500000000000006 ,                    224.08905157894716  ,                    141.80439345238108  ,                                0.0 ,                    0.0             ,                     211.1764705882349  ,                     164.6146034816247  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         28.0               ,                       18.1 ,             18.11497            ,           123.69089369999999    ,                             0.0012046783625648    ,                            27.847816281669143     ,   0.065506             ,    0.132294            ,   0.0                 , 0.0                   , 0.01171875            ,    0.0                ,   0.075546             ,   0.067566             ,   0.072861             ,   0.087296             ,        56999.1909942      ,         96085.818768
dunkeld12      ,        138.76857324041922  ,        37.96475366952876   ,     0.0                ,    28.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.875              ,              2.5903999999999994 ,         28.9               ,         4.800000000000001  ,                1147636.0703797464  ,                319230.06748634664  ,              58.471148500000005 ,              64.706876          ,0.02660000000000001  ,0.071                ,                    103.97333150537636  ,                    283.16373333333354  ,                                0.0 ,                    0.0             ,                     277.24705882352924 ,                     171.3071428571427  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,          7.0               ,                       30.0 ,             52.572226699999945  ,             2.2608699           ,                           139.6197393483709       ,                             0.6537143020725966    ,   0.0702359999999999   ,    0.3813169999999999  ,   0.0                 , 0.0                   , 0.0                   ,    0.08203125         ,   0.073959             ,   0.394394             ,   0.067535             ,   0.361359             ,        57516.065573399996 ,         97431.82252799999
dunkeld23      ,        105.89211995512161  ,        43.862042425037146  ,     0.0                ,     0.0                ,                 960.0 ,                 640.0 ,                  540.0 ,                  360.0 ,              0.265              ,              0.0                ,         17.9               ,        24.6                ,                 868759.8225787677  ,                292065.09597549477  ,              33.885024200000004 ,              40.0436981         ,0.016200000000000003 ,0.0151               ,                     49.4609003448276   ,                     70.42308999999999  ,                                0.0 ,                    0.0             ,                      81.5686274509804  ,                      65.30000000000003 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 640.0 ,                 960.0 ,         27.2               ,                       20.0 ,             11.952854           ,             2.2282718999999998  ,                             5.7557142857142765    ,                             0.00120058989373342   ,   0.061129999999999914 ,    0.053467            ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,  23.0                  ,   0.0577089999999999   ,   0.063156             ,   0.0583949999999999   ,        56522.712015       ,         97565.15625600002
dunkeld31      ,         24.820546636683996 ,        27.89645996566584   ,     0.0                ,     2.0                ,                 480.0 ,                 640.0 ,                  270.0 ,                  360.0 ,              2.083              ,              3.42               ,          9.8               ,         3.8000000000000007 ,                 188570.24972170527 ,                241862.18002912053  ,              73.1764751         ,              80.1711123         ,0.06540000000000001  ,0.115                ,                    225.25431368421044  ,                    469.3187818181824   ,                                0.0 ,                    0.0             ,                     208.25000000000006 ,                     169.99999999999997 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 640.0 ,                 480.0 ,          4.5               ,                       12.1 ,            200.86660849999998   ,            41.9699322           ,                            75.26010128205128      ,                             6.293167003836677     ,   0.08768140000000003  ,    0.07074             ,   0.0                 , 0.3515625             , 0.07832031250000013   ,    0.24609375         ,   0.054835199999999994 ,   0.130157             ,   0.14939420000000017  ,   0.0567929999999999   ,        57525.24834        ,         98333.730528
dunkeld33      ,        105.04908829407154  ,       108.06609013849466   ,     0.0                ,     0.0                ,                 960.0 ,                 960.0 ,                  540.0 ,                  540.0 ,              0.0                ,              0.0                ,         16.9               ,        14.9                ,                 833607.2455016343  ,                907125.7130498099   ,              71.1915592         ,              37.1593497         ,0.023300000000000005 ,0.021000000000000015 ,                    120.23589793103456  ,                     82.02611304347838  ,                                0.0 ,                    0.0             ,                     151.03963963963966 ,                     161.23999999999992 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 960.0 ,                 960.0 ,         15.0               ,                       17.1 ,              5.5978594          ,             9.5199586           ,                             0.00115519926985318   ,                             1.462533540372678     ,   0.063904             ,    0.0561461           ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.058975             ,   0.0590669999999999   ,   0.05896              ,   0.055283             ,        57699.6451857      ,         98599.498272
ararat11       ,         40.7994836419876   ,       151.83911921874142   ,     0.0                ,     0.0                ,                 960.0 ,                1280.0 ,                  540.0 ,                  720.0 ,              5.123              ,              0.0                ,          3.0               ,        29.0                ,                 320021.1411665409  ,               1274303.0592888666   ,             100.6849013         ,              54.9979904         ,0.09490000000000003  ,0.031400000000000004 ,                    335.6831499999998   ,                     88.28304967741943  ,                                0.0 ,                    0.0             ,                     266.1168831168829  ,                     296.4285714285719  ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                 960.0 ,         30.0               ,                        8.5 ,              1.1023657999999998 ,           373.2099626           ,                             0.0013506894340233196 ,                           222.41073289473687      ,   0.059265             ,    0.160095            ,   0.0                 , 0.484375              , 0.0                   ,    0.193359375        ,   0.055435             ,   0.073914             ,   0.0580139999999999   ,   0.162262             ,        57487.113967499994 ,         97085.345088
ararat12       ,        148.98250554937482  ,       152.67139633401442   ,     0.0                ,     0.0                ,                1280.0 ,                1280.0 ,                  720.0 ,                  720.0 ,              0.0                ,              0.0                ,         29.0               ,        30.0                ,                1248931.0287817696  ,               1297584.6822535666   ,              48.713241700000005 ,              45.381060000000005 ,0.018                ,0.017                ,                     70.7254599999999   ,                     58.39399999999993  ,                                0.0 ,                    0.0             ,                      93.85507246376802 ,                      86.19111111111123 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                1280.0 ,                1280.0 ,         30.0               ,                       28.0 ,              0.2368048999999999 ,            33.633399            ,                             0.00140218579234956   ,                             0.7953980660954685    ,   0.054138             ,    0.052216            ,   0.0                 , 0.0                   , 0.0                   ,    0.0                ,   0.083817             ,   0.059814             ,   0.0560149999999999   ,   0.056061             ,        57414.5097561      ,         97750.66646400001
ararat13       ,        151.79389587888534  ,       114.78838377964661   ,     0.0                ,     0.0                ,                1280.0 ,                 960.0 ,                  720.0 ,                  540.0 ,              0.0                ,              0.0                ,         21.8               ,        29.0                ,                1298135.3839177326  ,                925407.9964955366   ,              45.08238550000001  ,              29.612523000000003 ,0.019300000000000005 ,0.019                ,                     74.91624411764705  ,                     44.26813666666662  ,                                0.0 ,                    0.0             ,                     149.72             ,                      92.33333333333324 ,                      0.0 ,        0.0               ,                            0.0 ,                  0.0           ,                 960.0 ,                1280.0 ,         30.0               ,                       20.3 ,              5.794011899999999  ,             1.516673            ,                             0.0010897696063475399 ,                             0.000907848219377261  ,   0.0660709999999999   ,    0.059433            ,   0.0                 , 0.0                   , 0.0                   ,    0.01953125         ,   0.052582             ,   0.0518649999999999   ,   0.0565339999999999   ,   0.0722199999999999   ,        57408.751574999995 ,         98119.44316800001
