identifier,IT01V_packetsRecieved_ellen,IT01V_packetsRecieved_aadya,IT01V_packetsLost_ellen,IT01V_packetsLost_aadya,IT01V_frameWidth_ellen,IT01V_frameWidth_aadya,IT01V_frameHeight_ellen,IT01V_frameHeight_aadya,IT01V_totalFreezesDuration_ellen,IT01V_totalFreezesDuration_aadya,IT01V_framesPerSecond_ellen,IT01V_framesPerSecond_aadya,IT01V_bytesReceived_in_bits_s_ellen,IT01V_bytesReceived_in_bits_s_aadya,IT01V_totalProcessingDelay_ellen,IT01V_totalProcessingDelay_aadya,IT01V_jitter_ellen,IT01V_jitter_aadya,IT01V_jitterBufferDelay_emissions_ellen,IT01V_jitterBufferDelay_emissions_aadya,IT01A_bytesReceived_in_bits_s_ellen,IT01A_bytesReceived_in_bits_s_aadya,IT01A_jitterBufferDelay_emissions_ellen,IT01A_jitterBufferDelay_emissions_aadya,OT01V_packetsSent_s_ellen,OT01V_packetsSent_s_aadya,OT01V_bytesSent_in_bits_s_ellen,OT01V_bytesSent_in_bits_s_aadya,OT01V_frameWidth_ellen,OT01V_frameWidth_aadya,OT01V_framesPerSecond_ellen,OT01V_framesPerSecond_aadya,OT01V_totalPacketSendDelay_ellen,OT01V_totalPacketSendDelay_aadya,OT01V_totalPacketSendDelay_packetsSent_in_ms_ellen,OT01V_totalPacketSendDelay_packetsSent_in_ms_aadya,RIV_roundTripTime_ellen,RIV_roundTripTime_aadya,RIV_fractionLost_ellen,RIV_fractionLost_aadya,RIA_fractionLost_ellen,RIA_fractionLost_aadya,RIA_roundTripTime_ellen,RIA_roundTripTime_aadya,ROA_roundTripTime_ellen,ROA_roundTripTime_aadya,AP_totalPlayoutDelay_ellen,AP_totalPlayoutDelay_aadya,score_ellen,score_aadya,score_min,serviceable_ellen,serviceable_aadya,serviceable_agg
colac12,164.54292135404313,84.50133814602145,7.199999999999999,9.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,23.8,1376253.267666234,670807.4666773062,104.272004,122.8474316,0.025,0.0282,299.9994466666665,465.847033763441,1139.3906092494187,1049.5290980259613,352.15555555555653,357.3777777777779,78.80517276249697,152.4767578782636,623576.2394202597,1270816.980886701,1280.0,1280.0,25.0,30.0,66.8310946,8.741059,29.97733177881411,3.513786464646461,0.236893,0.0921295999999999,0.0,0.0,0.0078125,0.0,0.3393771999999999,0.0802031999999999,0.1724245999999999,0.1177947999999999,58393.9072962,99910.95888,2.5,2.4,2.4,0,0,0
colac23,25.20370017400303,20.0072057261268,0.0,0.0,480.0,320.0,270.0,180.0,1.264,1.8284,3.2,19.4,193175.56473272957,83454.51117442071,125.9991664,6.0612758,0.1006,0.0528,587.6654818181819,21.02508720800892,21864.79018803678,1227.304637129666,663.3541416566609,1722.859574468085,23.20337813053136,25.20764098169618,94133.13447642942,197037.0595407692,320.0,480.0,20.4,10.6,9.7493342,458.8481756,78.67910588235301,1757.2651440000002,0.252826,0.0758332,0.0,0.0,0.01953125,0.03125,0.2603914,0.074228,0.260309,0.0862213999999999,58863.5740602,99277.127904,1.2,1.3,1.2,0,0,0
colac31,135.75087428784852,154.47685232414904,10.0,4.0,1280.0,1280.0,720.0,720.0,0.0,0.0,17.4,26.4,1160735.6171412065,1316584.893863879,93.9609714,59.4908908,0.0289,0.0275,225.60241789473665,103.30423309523816,1289.7605574003217,17570.675336414435,243.086274509804,166.1609090909091,152.89423432425775,130.45855164711858,1291048.6266973228,1111702.402340439,1280.0,1280.0,27.4,17.7,18.4275475,124.4264014,0.0012489566719763,53.23313491161616,0.0643384,0.0918166999999999,0.0,0.0,0.01171875,0.0,0.0761501999999999,0.0674701,0.0735063,0.0857042,58711.9113378,98958.91992,1.8,1.9,1.8,0,1,0
dunkeld12,138.45865937571256,37.96475366952876,0.0,28.0,1280.0,1280.0,720.0,720.0,0.875,2.5904,28.8,4.800000000000001,1147552.8659645545,319230.06748634664,55.925111,64.706876,0.0263999999999999,0.071,104.32582430107529,283.16373333333354,1489.958477054474,1062.3773619290064,305.5914285714286,312.1000000000004,47.19046190849525,153.54984562030847,296577.208746061,1298437.2051516287,1280.0,1280.0,9.4,30.0,115.6610892,2.2671134,724.4203015280136,0.3307388068246871,0.0679775999999999,0.3823393999999999,0.0,0.0007812499999999,0.0054687499999999,0.08203125,0.0740353999999999,0.39758,0.0669005999999999,0.3613802,59105.7306,102150.958752,3.6,3.0,3.0,1,1,1
dunkeld23,105.6905114475003,43.97185343356583,0.0,0.0,960.0,640.0,540.0,360.0,0.265,0.0,17.7,27.8,864859.7200464249,300866.56540135865,32.696165900000004,39.2014422,0.0166,0.0136,49.08287666666667,70.66286999999998,18213.56519569131,1564.7001992442229,88.8169230769231,66.26857142857149,45.11333486563966,110.71926463719387,321943.0559266164,904717.5807718392,640.0,960.0,29.7,19.1,11.9529132,2.2283573000000003,3.443315789473673,0.0011213706354375,0.0573989999999999,0.0532213,0.0,0.0,0.0,0.0,23.3,0.0580431999999999,0.0575532,0.0595898999999999,58120.3674324,100643.91456,3.9,3.0,3.0,0,1,0
dunkeld31,24.61852448060929,27.79678463983487,0.0,2.0,480.0,640.0,270.0,360.0,2.083,3.42,9.6,3.6000000000000005,187353.1329423504,241693.77101535237,68.82788,78.70729359999999,0.0658,0.115,225.94169403508764,470.9175636363641,1008.7544182982692,7320.318610812719,209.40350877193012,171.88444444444434,37.421376609511306,35.57953283195114,305394.58433857147,249126.04544329477,640.0,480.0,4.0,12.0,200.8666798,41.9699502,317.7072410434779,6.8391215989683225,0.0934415999999999,0.0735201999999999,0.0,0.35234375,0.0906249999999999,0.24609375,0.0558194,0.1303095999999999,0.1589935999999999,0.0571531999999999,59115.582981,101189.913408,2.1,2.0,2.0,0,0,0
dunkeld33,105.03893789216016,108.05619244012033,0.0,0.0,960.0,960.0,540.0,540.0,0.0,0.0,16.8,14.8,833400.3366045525,903825.96510681,68.77018899999999,35.1647088,0.0235999999999999,0.0219999999999999,120.2890625287357,82.1455304347827,1034.9917346721602,2789.8396373171345,151.44347826086965,162.5,108.77847986206912,105.24208307843648,933441.2111327198,869598.5933772372,960.0,960.0,15.0,18.0,5.5979816,9.5200552,0.0011563369728123,0.7521163043478328,0.0666779999999999,0.0564451999999999,0.0,0.0,0.0,0.0,0.0599119999999999,0.0590913999999999,0.05824,0.0537721999999999,59289.2750646,101473.137216,2.7,2.5,2.5,0,0,0
ararat11,40.60372723506692,151.7444918188699,0.0,0.0,960.0,1280.0,540.0,720.0,5.123,0.0,3.0,29.0,316866.52220512816,1273647.9014345706,101.5697986,53.5756608,0.0967999999999999,0.0317999999999999,339.3201749999997,89.23249935483875,1308.8610862435223,5915.589145466908,321.39089481946604,297.53488372092903,152.3946303574897,46.03119882873998,1286350.631163172,345694.64940600336,1280.0,960.0,30.0,7.6,1.1027964,373.5058546,0.0011016177096638,470.5499889943068,0.0597442,0.1602460999999999,0.0,0.484375,0.0,0.194921875,0.0568571999999999,0.0829944999999999,0.0582793999999999,0.1792602999999999,60289.0193304,99753.093504,4.1,4.0,4.0,1,1,1
ararat12,147.9837484581837,152.38531424487246,0.0,0.0,1280.0,1280.0,720.0,720.0,0.0,0.0,29.0,30.0,1241754.9846976197,1293507.714760645,48.9187164,43.8524522,0.0172,0.017,70.25497333333334,58.413266666666594,1087.978107156748,6722.078547119038,94.99999999999976,86.5317647058823,160.99724187825038,152.08769191582974,1364760.6219175947,1270676.090785109,1280.0,1280.0,30.0,28.0,0.237451,33.6667058,0.0013486338797812,0.965652603000714,0.0542418,0.0523808,0.0,0.0,0.0015624999999999,0.0,0.0840854,0.0603267999999999,0.0561613999999999,0.0561678,60227.6167836,100623.347136,4.3,4.0,4.0,1,1,1
ararat13,151.4147345809389,114.39207279755702,0.0,0.0,1280.0,960.0,720.0,540.0,0.0,0.0,21.7,29.0,1296440.6137855106,925200.8367430076,45.4172325,28.6952961,0.0199,0.0183,76.34039901960784,40.04583,10073.932396433996,885.9748972085137,151.45999999999998,93.92307692307725,114.66102596408888,153.52927668438656,921369.7776618556,1297888.7640766622,960.0,1280.0,30.0,20.0,5.794317,1.7855911,0.0011199272727308,0.0007952698149394,0.0675448999999999,0.0582149999999999,0.0,0.0,0.0,0.058203125,0.0547288,0.0544146999999999,0.0571519999999999,0.0773010999999999,60343.65773100001,101198.004288,4.5,4.0,4.0,1,1,1
