e - upload (kbps),e - download (kbps),e - latency (ms),condition no.,a - upload (kbps),a - download (kbps),a - latency (ms),condition no.
20000,25000,250,1.0,5000,12000,400,1.0
20000,25000,250,1.1,5000,12000,400,1.1
20000,25000,250,1.2,5000,12000,400,1.2
20000,25000,250,2.0,1000,5000,550,2.0
20000,25000,250,2.1,1000,5000,550,2.1
20000,25000,250,2.2,1000,5000,550,2.2
20000,25000,250,3.0,500,2000,750,3.0
20000,25000,250,3.1,500,2000,750,3.1
20000,25000,250,3.2,500,2000,750,3.2
20000,25000,250,4.0,20000,25000,400,4.0
20000,25000,250,4.1,20000,25000,400,4.1
20000,25000,250,4.2,20000,25000,400,4.2
20000,25000,250,5.0,20000,25000,550,5.0
20000,25000,250,5.1,20000,25000,550,5.1
20000,25000,250,5.2,20000,25000,550,5.2
20000,25000,250,6.0,20000,25000,750,6.0
20000,25000,250,6.1,20000,25000,750,6.1
20000,25000,250,6.2,20000,25000,750,6.2
20000,25000,250,7.0,5000,12000,250,7.0
20000,25000,250,7.1,5000,12000,250,7.1
20000,25000,250,7.2,5000,12000,250,7.2
20000,25000,250,8.0,5000,12000,550,8.0
20000,25000,250,8.1,5000,12000,550,8.1
20000,25000,250,8.2,5000,12000,550,8.2
20000,25000,250,9.0,5000,12000,750,9.0
20000,25000,250,9.1,5000,12000,750,9.1
20000,25000,250,9.2,5000,12000,750,9.2
5000,12000,400,10.0,1000,5000,550,10.0
5000,12000,400,10.1,1000,5000,550,10.1
5000,12000,400,10.2,1000,5000,550,10.2
5000,12000,400,11.0,500,2000,750,11.0
5000,12000,400,11.1,500,2000,750,11.1
5000,12000,400,11.2,500,2000,750,11.2
5000,12000,400,12.0,20000,25000,400,12.0
5000,12000,400,12.1,20000,25000,400,12.1
5000,12000,400,12.2,20000,25000,400,12.2
5000,12000,400,13.0,20000,25000,550,13.0
5000,12000,400,13.1,20000,25000,550,13.1
5000,12000,400,13.2,20000,25000,550,13.2
5000,12000,400,14.0,20000,25000,750,14.0
5000,12000,400,14.1,20000,25000,750,14.1
5000,12000,400,14.2,20000,25000,750,14.2
5000,12000,400,15.0,5000,12000,250,15.0
5000,12000,400,15.1,5000,12000,250,15.1
5000,12000,400,15.2,5000,12000,250,15.2
5000,12000,400,16.0,5000,12000,550,16.0
5000,12000,400,16.1,5000,12000,550,16.1
5000,12000,400,16.2,5000,12000,550,16.2
5000,12000,400,17.0,5000,12000,750,17.0
5000,12000,400,17.1,5000,12000,750,17.1
5000,12000,400,17.2,5000,12000,750,17.2
1000,5000,550,18.0,500,2000,750,18.0
1000,5000,550,18.1,500,2000,750,18.1
1000,5000,550,18.2,500,2000,750,18.2
1000,5000,550,19.0,20000,25000,400,19.0
1000,5000,550,19.1,20000,25000,400,19.1
1000,5000,550,19.2,20000,25000,400,19.2
1000,5000,550,20.0,20000,25000,550,20.0
